,question,golden_answer,answer,judge,model
15,what is the first step in the evolution of the eye,photoreceptor proteins that sense light,"The first step in the evolution of the eye is the development of photosensitive cells, which are capable of detecting light. These cells evolved in early organisms as a means of sensing their environment and helping them navigate or respond to changes in light levels.",True,gpt4
16,where is the tv show the curse of oak island filmed,Oak Island,"The TV show ""The Curse of Oak Island"" is filmed on Oak Island, a privately-owned island located in Nova Scotia, Canada.",True,gpt4
17,where is gall bladder situated in human body,beneath the liver,"The gallbladder is situated in the human body under the liver, in the upper-right part of the abdomen. It is a small, pear-shaped organ that stores bile produced by the liver, which is then released into the small intestine to help digest fats.",True,gpt4
19,who was named african footballer of the year 2014,Yaya Touré,"African Footballer of the Year for 2014 was Yaya Touré, an Ivorian professional footballer.",True,gpt4
20,what is the main mineral in lithium batteries,Lithium,"The main mineral in lithium batteries is lithium cobalt oxide (LiCoO2) for standard lithium-ion batteries. Other chemistries, such as lithium iron phosphate (LiFePO4) and lithium manganese oxide (LiMn2O4), are used in various types of lithium batteries as well.",True,gpt4
21,right to property according to the constitution of india is a,constitutional right,"The right to property in India was originally a fundamental right under Article 19(1)(f) and Article 31 of the Indian Constitution. However, the 44th Amendment in 1978 removed the right to property as a fundamental right, and it was reclassified as a legal right under Article 300A.",True,gpt4
23,what part of the brain is in the middle cranial fossa,pituitary gland,"The middle cranial fossa houses several structures, including the temporal lobes of the brain, the sphenoid bone, and the pituitary gland.",True,gpt4
24,where do the greasers live in the outsiders,"Tulsa, Oklahoma","In the novel ""The Outsiders"" by S.E. Hinton, the Greasers live on the east side of the city, which is sometimes referred to as the ""wrong side of the tracks."" The story is set in Tulsa, Oklahoma.",True,gpt4
25,who died in the plane crash greys anatomy,Dr. Lexie Grey,"In the television series ""Grey's Anatomy,"" a plane crash occurs in the Season 8 finale, ""Flight."" Lexie Grey (played by Chyler Leigh) dies during the crash, and later, Mark Sloan (played by Eric Dane) succumbs to his injuries in the Season 9 premiere, ""Going, Going, Gone.""",True,gpt4
26,where do they grow hops in the us,Yakima (Washington),"Hops are grown in several regions across the United States, with the majority of hop production occurring in the Pacific Northwest, particularly in the states of Washington, Oregon, and Idaho.",True,gpt4
27,what's the dog's name on tom and jerry,Spike,"In the animated series ""Tom and Jerry,"" the dog character is named Spike.",True,gpt4
30,panda is a national animal of which country,China,The Giant Panda is the national animal of China.,True,gpt4
33,who did deion sanders go in the hall of fame as,Cornerback,"Deion Sanders was inducted into the Pro Football Hall of Fame in 2011 as a player, primarily known for his time with the Atlanta Falcons and the San Francisco 49ers.",False,gpt4
34,what is the name of manchester united stadium,Old Trafford,"The name of Manchester United's stadium is Old Trafford, located in Greater Manchester, England.",True,gpt4
35,who played the mother in the black stallion,Teri Garr,"In the 1979 movie ""The Black Stallion,"" the mother of the main character, Alec Ramsey, was played by actress Teri Garr.",True,gpt4
36,who sings the theme song for the proud family,Destiny's Child,"The theme song for the animated television series ""The Proud Family"" is performed by Solange Knowles, featuring Destiny's Child.",True,gpt4
37,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"""Can't Get You Out of My Head"" is a song by Australian singer Kylie Minogue, with lyrics written by Cathy Dennis and music produced by Rob Davis.",True,gpt4
38,who is rose in the fall season 2,Valene Kane,"I cannot find any information on a character named Rose in a series titled ""The Fall Season 2."" It's possible that there may be confusion with another TV show or character. If you provide more context, I would be happy to try to help with your question.",False,gpt4
39,where does the story the great gatsby take place,Long Island of 1922,"The story of ""The Great Gatsby,"" a novel written by F. Scott Fitzgerald, takes place in the fictional towns of West Egg and East Egg on Long Island, New York, as well as in New York City during the 1920s.",True,gpt4
42,who turned out to be the mother on how i met your mother,Tracy McConnell,"On the television show ""How I Met Your Mother,"" the character who turned out to be the mother of Ted Mosby's children was Tracy McConnell, played by actress Cristin Milioti.",True,gpt4
44,what is the meaning of the name sinead,God forgave,"The name Sinead is of Irish origin, derived from the name ""Jane"" or ""Jean."" Sinead means ""God is gracious"" or ""God's gracious gift.""",True,gpt4
45,what network is showing the monday night football game,ESPN,"As of my knowledge cutoff date in September 2021, Monday Night Football games were broadcast on ESPN in the United States. Please note that this information may be outdated, and you should refer to recent sources for the latest information.",True,gpt4
46,what is the form of mozart symphony no 40,G minor,"Mozart's Symphony No. 40 in G minor, K. 550, is composed in sonata form. It is a classical symphony with four movements: I. Molto allegro, II. Andante, III. Menuetto (Allegretto), and IV. Finale (Allegro assai).",True,gpt4
48,when is the fourth movie of the divergent series coming out,never made,"As of my knowledge cutoff date in September 2021, the fourth movie in the Divergent series, titled ""Ascendant,"" was initially planned but eventually canceled due to the poor box office performance of the third film, ""Allegiant."" Instead, it was reported that a television series or movie might be developed to conclude the story, but no concrete information was available. Please note that this information may be outdated, and you should refer to recent sources for the latest information.",True,gpt4
50,who is the girl in green day 21 guns,Lisa Stelly,"In Green Day's ""21 Guns"" music video, the girl is played by actress Lisa Stelly.",True,gpt4
52,who plays the voice of johnny in sing,Taron Egerton,"Taron Egerton provides the voice of Johnny, the singing gorilla, in the animated film ""Sing"" (2016).",True,gpt4
55,name the process of fusion of an egg with a sperm,fertilization,The process of fusion of an egg with a sperm is called fertilization.,True,gpt4
56,the vascular layer of the eye is the,middle layer,"The vascular layer of the eye is the uvea, also known as the uveal tract. It is made up of the iris, ciliary body, and choroid. These structures provide blood supply, nourishment, and other support functions to the eye.",True,gpt4
57,the cuban revolt against spain was led by,Máximo Gomez,"The Cuban revolt against Spain, which began in 1895, was led by José Martí, a Cuban poet, journalist, and revolutionary. He was a key figure in the planning and organization of the war for Cuban independence from Spanish colonial rule. Other prominent leaders during the war included General Máximo Gómez and Antonio Maceo.",True,gpt4
58,when was the first documented case of tool mark identification,1835,"The first documented case of tool mark identification dates back to 1901, when Edmund Locard, a French criminologist, matched the marks on a spent cartridge case to the firing pin of a suspect's revolver. This case laid the groundwork for the development of forensic science and tool mark analysis in criminal investigations.",False,gpt4
61,when did beds become popular in france and germany,the 12th century,"Beds, as we know them today, became popular in France and Germany during the 16th and 17th centuries. The popularity of beds grew as people began to value personal comfort and privacy.",False,gpt4
62,who wrote the song the glory of love,Billy Hill,"The song ""The Glory of Love"" was written by Billy Hill and first recorded by Benny Goodman in 1936. Since then, several artists have covered the song, including Bette Midler and Peter Cetera.",True,gpt4
63,who wrote the book the origin of species,Charles Darwin,"The book ""On the Origin of Species"" was written by Charles Darwin and published in 1859. It is considered one of the foundational works in the field of evolutionary biology.",True,gpt4
64,who sang rip it up and start again,Scottish post-punk band Orange Juice,"""Rip It Up and Start Again"" is a song by the post-punk band Orange Juice. It was released in 1982 and was written and sung by the band's lead vocalist, Edwyn Collins.",True,gpt4
67,where was the first season of slasher filmed,"Orangeville, Ontario, Canada","The first season of the horror anthology television series ""Slasher"" was filmed primarily in Sudbury, Parry Sound, and Sault Ste. Marie, Ontario, Canada.",True,gpt4
68,who said if a tree falls in the woods and nobody hears it,Philosopher George Berkeley,"The philosophical question ""If a tree falls in a forest and no one is around to hear it, does it make a sound?"" is often attributed to the Irish philosopher George Berkeley (1685–1753), who discussed the nature of perception and existence in his work ""A Treatise Concerning the Principles of Human Knowledge.""",True,gpt4
69,turkish finnish and hungarian belong to which family of languages,Uralic languages,"Turkish, Finnish, and Hungarian belong to the Uralic language family. Turkish is part of the Turkic branch, while Finnish and Hungarian are part of the Finno-Ugric branch within the Uralic family.",True,gpt4
71,a bond that the issuer has the right to pay off before its maturity date,callable,"A bond that the issuer has the right to pay off before its maturity date is called a callable bond. Callable bonds allow the issuer to redeem the bond before the bond's maturity if interest rates drop or if the issuer's credit quality improves, potentially saving the issuer money on interest payments.",True,gpt4
72,when did united states enter world war i,April 1917,"The United States entered World War I on April 6, 1917, when Congress declared war on Germany.",True,gpt4
73,who has given the theory of unbalanced economic growth,Hirschman,"The theory of unbalanced economic growth was proposed by economist Albert O. Hirschman in his 1958 book ""The Strategy of Economic Development."" Hirschman argued that, in developing economies, growth should be promoted by focusing on key sectors and creating imbalances that would, in turn, stimulate development in other sectors.",True,gpt4
74,where did the term spirits for alcohol come from,Middle Eastern alchemy,"The term ""spirits"" for alcohol comes from the Middle Ages when alchemists used distillation to create medicinal substances. The vapor produced during the distillation process was believed to contain the ""spirit"" or ""essence"" of the substance being distilled. Eventually, the term ""spirits"" became associated with distilled alcoholic beverages.",True,gpt4
75,who led the soldiers in ending the raid on the harper's ferry arsenal,Colonel Robert E. Lee,"Colonel Robert E. Lee, who later became the commander of the Confederate forces during the American Civil War, led the soldiers in ending the raid on Harpers Ferry arsenal in 1859. The raid was led by abolitionist John Brown, who intended to start a rebellion against slavery.",True,gpt4
76,when did disney art of animation resort open,"May 31, 2012","Disney's Art of Animation Resort opened at the Walt Disney World Resort in Florida on May 31, 2012.",True,gpt4
77,where would a subcutaneous injection be made in the skin,the subcutis,"A subcutaneous injection is made in the layer of skin directly below the epidermis and dermis, known as the subcutaneous tissue. This type of injection is typically administered at a 45-90 degree angle using a short needle, and common sites for subcutaneous injections include the fatty areas of the abdomen, thigh, and upper arm.",True,gpt4
78,where are most nutrients absorbed in the human digestive tract,The small intestine,"Most nutrients are absorbed in the human digestive tract within the small intestine. The small intestine, which is divided into three sections (duodenum, jejunum, and ileum), has a large surface area due to the presence of finger-like projections called villi and microvilli. This increased surface area allows for efficient absorption of nutrients into the bloodstream.",True,gpt4
79,when do primary ossification centers appear in an embryo,prenatal development,"Primary ossification centers appear in an embryo during the prenatal development process, typically around the sixth to eighth week of gestation. These centers are where bone formation begins, with bone tissue replacing the cartilage template.",True,gpt4
80,where does kevins family go in home alone 2,Florida,"In ""Home Alone 2: Lost in New York,"" Kevin's family goes on vacation to Miami, Florida, while Kevin accidentally boards a flight to New York City.",True,gpt4
81,when is season 2 of jessica jones being released,"March 8, 2018","Season 2 of ""Jessica Jones"" was released on March 8, 2018, on Netflix.",True,gpt4
83,what are the top five wine producing states,Washington,"As of my knowledge cutoff date in September 2021, the top five wine-producing states in the United States are California, Washington, Oregon, New York, and Texas. Please note that this information may change over time as production levels fluctuate.",False,gpt4
84,what is final season of game of thrones,The eighth,"The final season of ""Game of Thrones"" is Season 8, which premiered on April 14, 2019, and concluded on May 19, 2019.",True,gpt4
85,vikram samvat calender is official in which country,Nepal,"The Vikram Samvat calendar is the official calendar in Nepal. It is a Hindu lunar calendar used in some parts of India as well, but it is not the official calendar of India.",True,gpt4
86,who wrote there's a guy works down the chip shop lyrics,Philip Rambow,"""There's a Guy Works Down the Chip Shop Swears He's Elvis"" is a song by Kirsty MacColl, and the lyrics were written by Kirsty MacColl and Philip Rambow.",True,gpt4
88,an edge that is between a vertex and itself is a,loop,"An edge that is between a vertex and itself in a graph is called a loop or a self-loop. This type of edge connects a vertex to itself, creating a closed loop.",True,gpt4
90,how tall is the actor who plays hagrid in harry potter,6ft 1in,"The actor who plays Hagrid in the Harry Potter films is Robbie Coltrane. He is approximately 6 feet 1 inch (1.85 meters) tall. The character of Hagrid is portrayed as much taller than Coltrane, and this was achieved through the use of camera tricks and a body double.",True,gpt4
91,what is the job of justice of the peace,dispense summary justice,"The job of a Justice of the Peace varies depending on the jurisdiction but generally involves duties such as witnessing documents, administering oaths, performing marriages, and handling minor legal matters like small claims court or traffic violations. In some areas, they may also have the power to issue arrest warrants or preside over preliminary hearings in criminal cases.",True,gpt4
92,who won the oscar for best picture in 1976,Rocky,"The Oscar for Best Picture in 1976 was awarded to ""One Flew Over the Cuckoo's Nest,"" directed by Milos Forman and produced by Saul Zaentz and Michael Douglas.",False,gpt4
94,who was involved in the mapp vs ohio case,Dollree Mapp,"The Mapp v. Ohio case involved Dollree Mapp, who challenged the legality of evidence obtained during an unconstitutional search of her home by the police. The case went to the United States Supreme Court, which ruled in Mapp's favor in 1961, establishing the exclusionary rule that prohibits the use of illegally obtained evidence in criminal prosecutions.",True,gpt4
95,who was kat slater's sisters in eastenders,Zoe,"Kat Slater, a character in the British soap opera ""EastEnders,"" has two sisters: Lynne Hobbs (née Slater) and Belinda Peacock (née Slater).",True,gpt4
96,the cast of a good day to die hard,Mary Elizabeth Winstead,"The main cast of the film ""A Good Day to Die Hard"" (2013) includes Bruce Willis as John McClane, Jai Courtney as Jack McClane, Sebastian Koch as Yuri Komarov, Yuliya Snigir as Irina Komarov, and Rasha Bukvic as Alik.",True,gpt4
99,what is the cross on a letter t called,arm,"The cross on a letter ""t"" is called the crossbar or cross stroke.",True,gpt4
102,who plays the evil doctor in wonder woman,Elena Anaya,"In the 2017 film ""Wonder Woman,"" the evil doctor, also known as Doctor Poison, is played by actress Elena Anaya.",True,gpt4
103,who starred in the movie summer of 42,Oliver Conullt,"The movie ""Summer of '42"" (1971) starred Gary Grimes as Hermie, Jerry Houser as Oscy, Oliver Conullt as Benjie, and Jennifer O'Neill as Dorothy.",True,gpt4
104,what album is sacrifice by elton john on,Sleeping with the Past.,"""Sacrifice"" by Elton John is on his 22nd studio album, ""Sleeping with the Past,"" which was released in 1989.",True,gpt4
106,where can you find dna in the body,chromosomes in a cell,"DNA (deoxyribonucleic acid) can be found in the nucleus of most cells in the body. It is the genetic material that contains the instructions for the development, growth, reproduction, and functioning of all living organisms. In addition to the nucleus, DNA can also be found in the mitochondria of eukaryotic cells, known as mitochondrial DNA.",True,gpt4
107,who won the most medals in the 1924 winter olympics,Norway,"In the 1924 Winter Olympics, held in Chamonix, France, Norway won the most medals with a total of 17 (4 gold, 7 silver, and 6 bronze).",True,gpt4
108,what is the final season of downton abbey,the sixth,"The final season of ""Downton Abbey"" is Season 6, which originally aired from September 20, 2015, to December 25, 2015, in the UK and from January 3, 2016, to March 6, 2016, in the US.",True,gpt4
109,which site of an enzyme is called allosteric site,regulatory site,"The allosteric site is a specific site on an enzyme that is separate from the active site. When a molecule binds to the allosteric site, it can change the enzyme's shape, either enhancing or inhibiting its ability to bind to the substrate at the active site.",True,gpt4
110,what caused the breakup of the democratic republican party,the disputed 1824 presidential election,"The Democratic-Republican Party did not experience a formal breakup. Rather, it splintered into factions during the early 1820s, and by the 1824 election, there were four major presidential candidates, all claiming to be Democratic-Republicans. This splintering eventually led to the formation of new political parties, such as the Democratic Party and the Whig Party.",True,gpt4
111,who sings the song you'll never find another love like mine,Lou Rawls,"The song ""You'll Never Find Another Love Like Mine"" is sung by Lou Rawls. It was released in 1976 and became one of his most popular hits.",True,gpt4
114,where was uncle tom's cabin first published,The National Era,"""Uncle Tom's Cabin"" was first published in serialized form from June 5, 1851, to April 1, 1852, in the National Era, an abolitionist newspaper. It was published as a two-volume book in 1852 by John P. Jewett & Company in Boston.",True,gpt4
116,who warned europe to stay out of the americas,Monroe Doctrine,"The warning for Europe to stay out of the Americas was issued by U.S. President James Monroe in 1823, in what is now known as the Monroe Doctrine. This policy aimed to prevent European powers from further colonizing or interfering in the affairs of the newly independent nations of the Americas.",True,gpt4
117,when did the name of bombay change to mumbai,1995,The name of Bombay was officially changed to Mumbai in 1995. The change was made by the Indian government to reflect the city's Marathi heritage and to discard the remnullts of British colonial rule.,True,gpt4
118,where does the formation of atp take place,plasma membrane in bacteria,"The formation of ATP (adenosine triphosphate) takes place in the mitochondria of eukaryotic cells during a process called oxidative phosphorylation. In prokaryotic cells, ATP synthesis occurs in the cytoplasm through a process called substrate-level phosphorylation.",True,gpt4
119,who plays matthew on anne with an e,R. H. Thomson,"R.H. Thomson plays the character of Matthew Cuthbert in the television series ""Anne with an E.""",True,gpt4
120,who wrote song what a friend we have in jesus,Charles Crozat Converse,"The hymn ""What a Friend We Have in Jesus"" was written by Joseph M. Scriven in 1855.",True,gpt4
121,who dies in season 6 of once upon a time,Hyde,"In Season 6 of ""Once Upon a Time,"" Robin Hood, played by Sean Maguire, dies. He sacrifices himself to save Regina and the others from Hades, played by Greg Germann.",False,gpt4
123,who is the guy who walked across the twin towers,Philippe Petit,"Philippe Petit is the man who famously walked across the Twin Towers on a tightrope in 1974. His daring high-wire act was the subject of the documentary film ""Man on Wire"" (2008) and the feature film ""The Walk"" (2015).",True,gpt4
124,where do the royalties for winnie the pooh go,the Slesinger family,"The royalties for Winnie the Pooh go to several entities, including the estate of A.A. Milne, the author who created the character, and the Royal Literary Fund. Additionally, some royalties are donated to the Trustees of Pooh Properties and the children's hospital, Great Ormond Street Hospital, in London.",False,gpt4
126,genre of diary of a wimpy kid the getaway,Children's novel,"""Diary of a Wimpy Kid: The Getaway"" is a children's novel in the comedy and realistic fiction genres. It is the twelfth book in the ""Diary of a Wimpy Kid"" series by Jeff Kinney.",True,gpt4
131,who played stumpy in the movie rio bravo,Walter Brennull,"In the movie ""Rio Bravo"" (1959), the character Stumpy is played by actor Walter Brennull.",True,gpt4
135,what was the purpose of a revival meeting during the second great awakening,evangelizing,"The purpose of a revival meeting during the Second Great Awakening was to promote religious enthusiasm, inspire personal spiritual growth, and encourage moral reform. These gatherings aimed to awaken the attendees' religious fervor and often led to a significant number of people converting to or reaffirming their faith.",True,gpt4
136,when was catch me if you can made,2002,"""Catch Me If You Can"" is a 2002 film directed by Steven Spielberg and starring Leonardo DiCaprio and Tom Hanks. The movie is based on the life of Frank Abagnale Jr., a con artist and forger who was eventually caught by the FBI.",True,gpt4
137,when did toyota first come to the united states,1957,"Toyota first came to the United States in 1957, when they established Toyota Motor Sales, U.S.A., Inc. Their first vehicle sold in the United States was the Toyota Crown, which was introduced in 1958.",True,gpt4
138,what is the official symbol of the carnival of quebec,Bonhomme Carnaval,"The official symbol of the Carnaval de Québec, also known as the Quebec Winter Carnival, is Bonhomme Carnaval. Bonhomme is a large snowman mascot that represents the spirit of the festivities, embodying the joy and fun of the annual event.",True,gpt4
140,what are the band members names of the rolling stones,Ronnie Wood,"The band members of The Rolling Stones, as of my knowledge cutoff date, are Mick Jagger (lead vocals, harmonica), Keith Richards (guitar, vocals), Charlie Watts (drums), and Ronnie Wood (guitar). Charlie Watts passed away in August 2021, so there may have been changes to the band lineup since then.",True,gpt4
141,which apostle spoke at the council of jerusalem,Paul,"The Apostle Peter spoke at the Council of Jerusalem, as described in Acts 15. The Council of Jerusalem was an early Christian meeting to discuss the relationship between Jewish law and the growing Gentile Christian community.",False,gpt4
142,which film won the oscar for best animated feature in 2007,Ratatouille,"In 2007, the Oscar for Best Animated Feature went to ""Happy Feet,"" directed by George Miller.",False,gpt4
143,who played daisy duke in the new dukes of hazzard,Jessica Simpson,"In the 2005 film ""The Dukes of Hazzard,"" Jessica Simpson played the character of Daisy Duke.",True,gpt4
144,when was the first australian prime minister elected,Sir Edmund Barton,"The first Australian Prime Minister, Edmund Barton, took office on January 1, 1901, when the Commonwealth of Australia was formed. He was not elected as Prime Minister through a general election; rather, he was appointed by the Governor-General after being chosen by the majority in the Parliament.",True,gpt4
145,where is the country music hall of fame located,"Nashville, Tennessee","The Country Music Hall of Fame is located in Nashville, Tennessee, United States.",True,gpt4
146,who do the characters represent in 8 mile,loosely on Eminem,"In the 2002 film ""8 Mile,"" the characters are fictional, but the story is loosely based on the life of the film's star, Eminem. The protagonist, Jimmy ""B-Rabbit"" Smith Jr., played by Eminem, represents a version of Eminem himself during his early years in Detroit's rap scene.",True,gpt4
148,what was the first video game for nintendo,Magnavox Odyssey,"The first video game created by Nintendo was ""Color TV Game 6,"" released in 1977. It was a home console that featured six variations of the classic game ""Pong."" However, the first major success for Nintendo was the ""Donkey Kong"" arcade game, released in 1981, which introduced the characters Mario (originally known as Jumpman) and Donkey Kong.",False,gpt4
149,what is the most common blood type in sweden,A+,The most common blood type in Sweden is A positive (A+).,True,gpt4
150,who sings the theme song for the tv show cops,Inner Circle,"The theme song for the TV show ""Cops"" is ""Bad Boys,"" performed by the reggae group Inner Circle.",True,gpt4
151,who was on the first season of dwts,Joey McIntyre,"The first season of ""Dancing with the Stars"" (DWTS) featured celebrities Kelly Monaco, John O'Hurley, Rachel Hunter, Evander Holyfield, Joey McIntyre, and Trista Sutter.",True,gpt4
153,when was the minimum wage established in the united states,1938,"The minimum wage was established in the United States by the Fair Labor Standards Act, which was signed into law by President Franklin D. Roosevelt on June 25, 1938. The first federally mandated minimum wage was set at $0.25 per hour.",True,gpt4
154,who sings theme tune to orange is the new black,Spektor,"The theme song for ""Orange Is the New Black"" is ""You've Got Time,"" performed by Regina Spektor.",True,gpt4
155,when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,"The Regulatory Reform (Fire Safety) Order 2005 first came into effect in England and Wales on October 1, 2006.",True,gpt4
157,who wrote lord have mercy on the working man,Kostas,"""Lord Have Mercy on the Working Man"" is a song written by Kostas Lazarides and recorded by Travis Tritt for his 1992 album ""T-R-O-U-B-L-E.""",True,gpt4
158,a legislative act passed by congress is an example of,statutory law,"A legislative act passed by Congress is an example of a statute or statutory law. Statutory laws are written laws enacted by a legislative body, such as the United States Congress, and are distinct from common law, which is based on court decisions and legal precedents.",True,gpt4
159,what is the largest bill in american money,$100,"The largest bill in American money currently in circulation is the $100 bill, featuring Benjamin Franklin. However, historically, the largest denomination of U.S. currency was the $100,000 bill, which featured Woodrow Wilson and was used only for transactions between Federal Reserve Banks.",True,gpt4
160,where are unipolar neurons found in spinal cord,the distal dorsal root,"Unipolar neurons, also known as pseudounipolar neurons, are primarily found in the dorsal root ganglia of the spinal cord. These neurons are sensory neurons that transmit information from the peripheral nervous system to the central nervous system.",True,gpt4
161,what are the parts of a domain name called,subdomain,"The parts of a domain name are called the top-level domain (TLD), the second-level domain (SLD), and the subdomain. For example, in ""subdomain.example.com,"" ""com"" is the TLD, ""example"" is the SLD, and ""subdomain"" is the subdomain.",True,gpt4
162,who want to be a millionaire calls his dad,Carpenter,"The phrase ""Who Wants to Be a Millionaire calls his dad"" seems to refer to a contestant on the game show ""Who Wants to Be a Millionaire"" using their ""Phone-a-Friend"" lifeline to call their father for help with a question.",False,gpt4
165,what is the significance of the sahara desert,the largest hot desert,"The significance of the Sahara Desert lies in its role as a major geographic feature in Africa, affecting climate, wildlife, and human populations. It serves as a natural barrier between North Africa and Sub-Saharan Africa and has influenced trade, migration, and cultural exchange throughout history. Additionally, it plays a role in global climate patterns, as its vast expanse of sand and rock influences wind patterns and weather systems.",False,gpt4
167,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"Bartolomeu Dias, a Portuguese explorer, captained the first European ship to sail around the southern tip of Africa in 1488. This significant voyage opened the way for a direct sea route from Europe to Asia.",True,gpt4
168,who sang a whiter shade of pale first,Procol Harum,"""A Whiter Shade of Pale"" was first sung by Procol Harum, a British rock band. The song, written by Gary Brooker, Keith Reid, and Matthew Fisher, was released as the band's debut single in 1967 and became a hit in many countries.",True,gpt4
169,what material was used to build the roofs of houses in burzahom,birch,"The roofs of houses in Burzahom, an ancient Neolithic site in the Kashmir Valley of India, were made using thatch. Thatch is a roofing material made from plant stalks, such as straw, reeds, or grass, which were abundant in the region.",True,gpt4
171,in what part of the digestive tube do you expect the initial digestion of starch,the mouth,"The initial digestion of starch occurs in the mouth, where the enzyme salivary amylase, secreted by the salivary glands, begins to break down starch molecules into maltose, a simpler sugar.",True,gpt4
172,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,French chef Georges Auguste Escoffier is credited with developing the classic kitchen brigade system. The brigade system is a hierarchical structure for professional kitchens that assigns specific responsibilities to each staff member based on their role.,True,gpt4
173,who sings stop listen what's that sound,Buffalo Springfield,"The song ""For What It's Worth,"" which features the lyrics ""Stop, hey, what's that sound,"" is sung by Buffalo Springfield. The song was released in 1966 and was written by Stephen Stills.",True,gpt4
175,who played mark on the show the rifleman,John Ernest Crawford,"Johnny Crawford played the role of Mark McCain, the son of the title character Lucas McCain, on the TV show ""The Rifleman,"" which aired from 1958 to 1963.",True,gpt4
176,who played ricky in secret life of the american teenager,Daren Maxwell Kagasoff,"Daren Kagasoff played the character Ricky Underwood in the TV series ""The Secret Life of the American Teenager,"" which aired from 2008 to 2013.",True,gpt4
177,who had the longest tenure as moderator on meet the press,Tim Russert,"Tim Russert had the longest tenure as moderator of ""Meet the Press."" He served as the show's moderator from 1991 until his death in 2008.",True,gpt4
178,who has the talismans in sailor moon s,Haruka and Michiru,"In the ""Sailor Moon S"" season of the anime series, the talismans are in the possession of three Sailor Senshi: Sailor Uranus (who has the Space Sword), Sailor Neptune (who has the Deep Aqua Mirror), and Sailor Pluto (who has the Garnet Orb). The talismans play a key role in awakening Sailor Saturn and are crucial to the storyline.",True,gpt4
179,when was where have all the flowers gone written,1955,"""Where Have All the Flowers Gone"" was written by American folk singer and activist Pete Seeger in 1955.",True,gpt4
180,industrial city in germany on the rhine herne canal,Henrichenburg,"An industrial city in Germany on the Rhine-Herne Canal is Gelsenkirchen. The canal connects the Rhine and Ruhr rivers, facilitating the transportation of goods and supporting the region's heavy industry.",False,gpt4
181,what is a real world application of an atwood machine,An elevator with a counterbalance,"A real-world application of an Atwood machine, a simple pulley system with two masses connected by a string, is in physics education and experiments. It is often used in classrooms and laboratories to demonstrate the principles of motion, force, and tension, as well as to study acceleration due to gravity.",False,gpt4
182,who starred in the movie natural born killers,Robert Downey Jr.,"""Natural Born Killers"" starred Woody Harrelson and Juliette Lewis as the main characters, Mickey and Mallory Knox. The film, directed by Oliver Stone, was released in 1994.",True,gpt4
183,who wants a heart in the wizard of oz,Tin Woodman,"The Tin Man wants a heart in ""The Wizard of Oz."" He believes that having a heart will make him capable of love and compassion.",True,gpt4
