,question,golden_answer,answer,judge,model
62,who wrote the song the glory of love,Billy Hill,"The song ""The Glory of Love"" was written by Billy Hill in 1936.",True,gpt35
63,who wrote the book the origin of species,Charles Darwin,The book The Origin of Species was written by English naturalist Charles Darwin.,True,gpt35
64,who sang rip it up and start again,Scottish post-punk band Orange Juice,"The song ""Rip It Up and Start Again"" was originally performed by the British post-punk band Orange Juice.",True,gpt35
67,where was the first season of slasher filmed,"Orangeville, Ontario, Canada","The first season of Slasher was filmed in Sudbury, Ontario, Canada.",True,gpt35
68,who said if a tree falls in the woods and nobody hears it,Philosopher George Berkeley,", does it make a sound

This phrase is attributed to the 18th-century philosopher George Berkeley. He wrote, “For, suppose the mind of man were removed out of the world, all the things in the world would be no more to him than if they had never been created; and to suppose any real existence without the mind, is to suppose a chimera. To which I answer, that though an audible sound hath not existence without the ear to hear it, yet the",True,gpt35
69,turkish finnish and hungarian belong to which family of languages,Uralic languages,"Turkish, Finnish, and Hungarian are all part of the Uralic language family.",True,gpt35
71,a bond that the issuer has the right to pay off before its maturity date,callable,"A callable bond is a bond that the issuer has the right to pay off before its maturity date. The issuer may choose to do this if interest rates have declined since the bond was issued, allowing them to refinullce the debt at a lower rate.",True,gpt35
72,when did united states enter world war i,April 1917,"The United States entered World War I on April 6, 1917.",True,gpt35
73,who has given the theory of unbalanced economic growth,Hirschman,The theory of unbalanced economic growth was proposed by the economist and Nobel laureate Simon Kuznets in 1955.,False,gpt35
74,where did the term spirits for alcohol come from,Middle Eastern alchemy,"The term ""spirits"" for alcohol likely comes from the Latin word ""spiritus,"" which means ""breath"" or ""soul."" It was used to describe distilled alcohol because it was believed that the process of distillation released a substance that held the essence of the original material.",False,gpt35
75,who led the soldiers in ending the raid on the harper's ferry arsenal,Colonel Robert E. Lee,The soldiers who ended the raid on the Harper's Ferry Arsenal were led by Colonel Robert E. Lee of the United States Army. Lee was later to become the commander of the Confederate army during the American Civil War.,True,gpt35
76,when did disney art of animation resort open,"May 31, 2012","Disney's Art of Animation Resort opened on May 31, 2012.",True,gpt35
77,where would a subcutaneous injection be made in the skin,the subcutis,A subcutaneous injection is made into the fatty layer of tissue just beneath the skin.,True,gpt35
78,where are most nutrients absorbed in the human digestive tract,The small intestine,"Most nutrients are absorbed in the small intestine, specifically in the duodenum, jejunum, and ileum.",True,gpt35
79,when do primary ossification centers appear in an embryo,prenatal development,Primary ossification centers appear in an embryo around the 8th week of gestation.,True,gpt35
80,where does kevins family go in home alone 2,Florida,"In Home Alone 2: Lost in New York, Kevin's family goes to Miami, Florida.",True,gpt35
81,when is season 2 of jessica jones being released,"March 8, 2018","Season 2 of Jessica Jones is set to be released on March 8, 2018.",True,gpt35
83,what are the top five wine producing states,Washington,"1. California
2. Washington
3. Oregon
4. New York
5. Pennsylvania",True,gpt35
84,what is final season of game of thrones,The eighth,The final season of Game of Thrones aired in 2019 and consisted of six episodes.,False,gpt35
85,vikram samvat calender is official in which country,Nepal,"The Vikram Samvat calendar is the official calendar of Nepal, India, and many other countries in the Indian subcontinent.",True,gpt35
86,who wrote there's a guy works down the chip shop lyrics,Philip Rambow,"The song ""There's a Guy Works Down the Chip Shop Swears He's Elvis"" was written by Kirsty MacColl.",True,gpt35
88,an edge that is between a vertex and itself is a,loop,"loop

A loop is an edge that connects a vertex to itself.",True,gpt35
90,how tall is the actor who plays hagrid in harry potter,6ft 1in,"Robbie Coltrane, who plays Hagrid in the Harry Potter films, is 6 feet 1 inch (1.85 m) tall.",True,gpt35
91,what is the job of justice of the peace,dispense summary justice,"A Justice of the Peace (JP) is a judicial officer of a lower or puisne court, elected or appointed by means of a commission (letters patent) to keep the peace. Depending on the jurisdiction, they might dispense summary justice or merely deal with local administrative applications in common law jurisdictions. In past centuries, JPs were also of a enough rank to handle the administration of the estates of deceased persons.",True,gpt35
92,who won the oscar for best picture in 1976,Rocky,Rocky won the Academy Award for Best Picture in 1976.,True,gpt35
94,who was involved in the mapp vs ohio case,Dollree Mapp,"The case of Mapp v. Ohio was argued before the Supreme Court of the United States on April 29, 1961. The case was argued by Ohio Attorney General William J. Brown and Cleveland attorney Louis Stokes on behalf of Dollree Mapp, the plaintiff. The Supreme Court justices who heard the case were Chief Justice Earl Warren, Associate Justices Hugo Black, William O. Douglas, John Marshall Harlan II, William J. Brennull, Jr., Charles Evans Whittaker, Potter",True,gpt35
95,who was kat slater's sisters in eastenders,Zoe,Kat Slater's sisters in EastEnders are Lynne Hobbs (played by Elaine Lordan) and Little Mo Mitchell (played by Kacey Ainsworth).,True,gpt35
96,the cast of a good day to die hard,Mary Elizabeth Winstead,"* Bruce Willis as John McClane
* Jai Courtney as Jack McClane
* Sebastian Koch as Komarov
* Yuliya Snigir as Irina
* Cole Hauser as Collins
* Amaury Nolasco as Alik
* Megalyn Echikunwoke as Lucy
* Anne Vyalitsyna as Irina's Sister
* Mary Elizabeth Winstead as Lucy's Sister
* Roman Luknár as Chag",True,gpt35
99,what is the cross on a letter t called,arm,The cross on a letter t is called a tittle.,False,gpt35
102,who plays the evil doctor in wonder woman,Elena Anaya,"The evil doctor in Wonder Woman is Dr. Maru, played by Elena Anaya.",True,gpt35
103,who starred in the movie summer of 42,Oliver Conullt,"The movie Summer of '42 stars Jennifer O'Neill, Gary Grimes, Jerry Houser, Oliver Conullt, and Katherine Allentuck.",True,gpt35
104,what album is sacrifice by elton john on,Sleeping with the Past.,Sacrifice is a single from Elton John's 1989 album Sleeping with the Past.,True,gpt35
106,where can you find dna in the body,chromosomes in a cell,"DNA can be found in the nucleus of cells throughout the body, such as in skin, muscle, and organ cells.",True,gpt35
107,who won the most medals in the 1924 winter olympics,Norway,"Norway won the most medals at the 1924 Winter Olympics, with a total of 17 medals (7 gold, 5 silver, and 5 bronze).",True,gpt35
108,what is the final season of downton abbey,the sixth,"The sixth and final season of Downton Abbey aired in the United Kingdom from September 21, 2015 to December 25, 2015.",True,gpt35
109,which site of an enzyme is called allosteric site,regulatory site,"The allosteric site is a specific binding site on an enzyme molecule that binds a regulatory molecule and alters the enzyme's activity. Allosteric sites are typically located on the surface of the enzyme and are distinct from the enzyme's active site, which is responsible for the enzyme's catalytic activity.",True,gpt35
110,what caused the breakup of the democratic republican party,the disputed 1824 presidential election,"The Democratic-Republican Party broke up due to a number of factors, including the emergence of new political ideologies, the rise of new political parties, and sectionalism. The party was originally founded by Thomas Jefferson and James Madison in opposition to the Federalist Party, but the party gradually began to fracture as members disagreed on issues such as the Bank of the United States, the Louisiana Purchase, and the War of 1812. Eventually, the party split into two distinct factions: the National Republican",False,gpt35
111,who sings the song you'll never find another love like mine,Lou Rawls,"The song ""You'll Never Find Another Love Like Mine"" was originally recorded by Lou Rawls in 1976.",True,gpt35
114,where was uncle tom's cabin first published,The National Era,"Uncle Tom's Cabin was first published in serial form in the National Era, an abolitionist periodical, beginning in June of 1851.",True,gpt35
116,who warned europe to stay out of the americas,Monroe Doctrine,Christopher Columbus famously warned Europe to stay out of the Americas in 1492 when he set sail on his first voyage.,False,gpt35
117,when did the name of bombay change to mumbai,1995,The name of Bombay officially changed to Mumbai in 1995.,True,gpt35
118,where does the formation of atp take place,plasma membrane in bacteria,"ATP is formed in the mitochondria of a cell. It is formed in the process of oxidative phosphorylation, which occurs in the inner membrane of the mitochondria.",True,gpt35
119,who plays matthew on anne with an e,R. H. Thomson,Matthew is played by Canadian actor Lucas Jade Zumann.,False,gpt35
120,who wrote song what a friend we have in jesus,Charles Crozat Converse,"The song ""What a Friend We Have in Jesus"" was written by Joseph M. Scriven in 1855.",True,gpt35
121,who dies in season 6 of once upon a time,Hyde,"Neal Cassidy, also known as Baelfire, dies in Season 6 of Once Upon a Time. He is killed by the Black Fairy, who is revealed to be his mother.",False,gpt35
123,who is the guy who walked across the twin towers,Philippe Petit,"The man who famously walked between the Twin Towers of the World Trade Center in 1974 was Philippe Petit, a French high-wire artist.",True,gpt35
124,where do the royalties for winnie the pooh go,the Slesinger family,"The royalties for Winnie the Pooh go to the estate of A.A. Milne, the author of the books. The copyright and trademark rights are owned by Disney.",False,gpt35
126,genre of diary of a wimpy kid the getaway,Children's novel,The genre of Diary of a Wimpy Kid: The Getaway is children's fiction.,True,gpt35
131,who played stumpy in the movie rio bravo,Walter Brennull,Stumpy was played by Walter Brennull in the 1959 western film Rio Bravo.,True,gpt35
135,what was the purpose of a revival meeting during the second great awakening,evangelizing,"The purpose of a revival meeting during the Second Great Awakening was to encourage people to turn to a more passionate, personal form of Christianity and to experience a spiritual conversion. These meetings were typically held outdoors and featured passionate sermons, singing, and emotional testimonies from those who had experienced conversions. The meetings were intended to inspire religious fervor and to bring about a spiritual renewal.",True,gpt35
136,when was catch me if you can made,2002,"Catch Me If You Can was released in the United States on December 25, 2002.",True,gpt35
137,when did toyota first come to the united states,1957,"Toyota first came to the United States in 1957. The first car imported was a Toyopet Crown, which sold only 312 units.",True,gpt35
138,what is the official symbol of the carnival of quebec,Bonhomme Carnaval,"The official symbol of the Carnival of Quebec is the Bonhomme Carnaval, a snowman-like figure wearing a top hat, scarf, and mittens.",True,gpt35
140,what are the band members names of the rolling stones,Ronnie Wood,"The current members of The Rolling Stones are:

1. Mick Jagger – lead vocals, guitar, harmonica, keyboards
2. Keith Richards – guitar, backing vocals
3. Charlie Watts – drums
4. Ronnie Wood – guitar, backing vocals
5. Darryl Jones – bass guitar",True,gpt35
141,which apostle spoke at the council of jerusalem,Paul,The Apostle Paul spoke at the Council of Jerusalem.,True,gpt35
142,which film won the oscar for best animated feature in 2007,Ratatouille,"The film ""Ratatouille"" won the Oscar for Best Animated Feature in 2007.",True,gpt35
143,who played daisy duke in the new dukes of hazzard,Jessica Simpson,The role of Daisy Duke was played by Jessica Simpson in the 2005 film The Dukes of Hazzard.,True,gpt35
144,when was the first australian prime minister elected,Sir Edmund Barton,"The first Australian Prime Minister was Edmund Barton, who was elected in January 1901.",True,gpt35
145,where is the country music hall of fame located,"Nashville, Tennessee","The Country Music Hall of Fame and Museum is located in Nashville, Tennessee.",True,gpt35
146,who do the characters represent in 8 mile,loosely on Eminem,"The characters in 8 Mile represent the real-life people who lived in Detroit's 8 Mile area during the late 1990s. Eminem plays a fictionalized version of himself, Jimmy ""B-Rabbit"" Smith Jr., a young white rapper trying to make it in the city's hip-hop scene. Other characters, such as Future (Mekhi Phifer), represent the many African-American rappers and hip-hop artists in the area, while the character of Alex (Britt",True,gpt35
148,what was the first video game for nintendo,Magnavox Odyssey,"The first video game released for Nintendo was a game called ""Donkey Kong"" which was released in 1981.",False,gpt35
149,what is the most common blood type in sweden,A+,The most common blood type in Sweden is A+.,True,gpt35
150,who sings the theme song for the tv show cops,Inner Circle,"The theme song for the TV show Cops is performed by Inner Circle and is titled ""Bad Boys"".",True,gpt35
151,who was on the first season of dwts,Joey McIntyre,"The first season of Dancing with the Stars in the United States featured celebrities Kelly Monaco, John O'Hurley, Trista Rehn, Joey McIntyre, Evander Holyfield, Tia Carrere, Rachel Hunter, George Hamilton, Leeza Gibbons, and Drew Lachey.",True,gpt35
153,when was the minimum wage established in the united states,1938,The first federal minimum wage in the United States was established in 1938 as part of the Fair Labor Standards Act. It was set at $0.25 per hour.,True,gpt35
154,who sings theme tune to orange is the new black,Spektor,"The theme song for Orange is the New Black is ""You've Got Time"" by Regina Spektor.",True,gpt35
155,when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,The Regulatory Reform (Fire Safety) Order 2005 first came into effect on 1 October 2006.,True,gpt35
157,who wrote lord have mercy on the working man,Kostas,"The song ""Lord Have Mercy on the Working Man"" was written and recorded by American country music artist Tracy Lawrence in 1994.",False,gpt35
158,a legislative act passed by congress is an example of,statutory law,"a law

A legislative act passed by Congress is an example of a statute. Statutes are laws that have been enacted by a legislature, such as Congress. They are written, codified and enacted into law by the authority of a governing body.",True,gpt35
159,what is the largest bill in american money,$100,The largest bill in American money is the $100 bill.,True,gpt35
160,where are unipolar neurons found in spinal cord,the distal dorsal root,Unipolar neurons are found in the dorsal root ganglia of the spinal cord. They are sensory neurons that relay sensory information from the body to the central nervous system.,True,gpt35
161,what are the parts of a domain name called,subdomain,The parts of a domain name are called labels.,False,gpt35
162,who want to be a millionaire calls his dad,Carpenter,"It depends on the situation. If the person is asking for advice or help on a question they don't know the answer to, then it is likely that they would call their dad. However, if the person is just trying to celebrate a milestone or share their success, then they may just call their dad to let him know.",False,gpt35
165,what is the significance of the sahara desert,the largest hot desert,"The Sahara Desert is the world's largest hot desert and one of the most extreme environments on Earth. It covers an area of about 9 million square kilometers (3.6 million square miles), stretching across 11 countries in Northern Africa. The Sahara is home to a variety of unique wildlife and plants, and it has a long and rich cultural history. It is also a major source of dust and sand for the planet, and its sand dunes are some of the largest in the world.",True,gpt35
167,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"?

The first European ship to sail around the tip of Africa was the Portuguese caravel, the São Gabriel, captained by Bartolomeu Dias in 1488.",True,gpt35
168,who sang a whiter shade of pale first,Procol Harum,"The song ""A Whiter Shade of Pale"" was first recorded and released by the British rock band Procol Harum in 1967.",True,gpt35
169,what material was used to build the roofs of houses in burzahom,birch,"The roofs of houses in Burzahom were constructed using slabs of stone. The stone slabs were held together with mud and straw, and the roofs were then covered with a layer of mud.",False,gpt35
171,in what part of the digestive tube do you expect the initial digestion of starch,the mouth,Starch digestion begins in the mouth with the action of salivary amylase. The starch is then further broken down in the small intestine by pancreatic amylase.,True,gpt35
172,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,The French chef given credit for developing the classic kitchen brigade is Georges-Auguste Escoffier.,True,gpt35
173,who sings stop listen what's that sound,Buffalo Springfield,"The song ""Stop, Listen, What's That Sound?"" was written and performed by the band The Doobie Brothers.",False,gpt35
175,who played mark on the show the rifleman,John Ernest Crawford,"The actor who played Mark McCain in the TV series ""The Rifleman"" was Johnny Crawford.",True,gpt35
176,who played ricky in secret life of the american teenager,Daren Maxwell Kagasoff,The role of Ricky Underwood was played by actor Daren Kagasoff.,True,gpt35
177,who had the longest tenure as moderator on meet the press,Tim Russert,"The longest tenure as moderator of Meet the Press belonged to Tim Russert, who held the position from December 8, 1991, until his death on June 13, 2008.",True,gpt35
178,who has the talismans in sailor moon s,Haruka and Michiru,"The Talismans in Sailor Moon are held by the Sailor Guardians, also known as the Sailor Senshi. The four Talismans are the Holy Grail, the Cutie Moon Rod, the Deep Aqua Mirror, and the Space Sword.",False,gpt35
179,when was where have all the flowers gone written,1955,"""Where Have All the Flowers Gone?"" was written by Pete Seeger in 1956.",False,gpt35
180,industrial city in germany on the rhine herne canal,Henrichenburg,"Duisburg, Germany. It is located in the state of North Rhine-Westphalia and is the largest inland port in Europe. The city is known for its steel and coal industry, as well as its location at the intersection of the Rhine-Herne Canal and the Rhine River.",True,gpt35
181,what is a real world application of an atwood machine,An elevator with a counterbalance,"An Atwood machine is a simple device used to demonstrate the principles of Newton's Second Law of Motion. It can be used in a variety of real-world applications, such as in amusement park rides, elevators, and cranes. It can also be used to measure the acceleration of objects in motion, as well as to measure the force of gravity.",True,gpt35
182,who starred in the movie natural born killers,Robert Downey Jr.,"The principal cast of Natural Born Killers included Woody Harrelson, Juliette Lewis, Robert Downey Jr., Tom Sizemore, and Tommy Lee Jones.",True,gpt35
183,who wants a heart in the wizard of oz,Tin Woodman,"The Wizard of Oz does not offer a heart as a reward. Instead, he offers the Scarecrow a diploma, the Tin Man a heart-shaped clock, and the Cowardly Lion a medal of courage.",False,gpt35
184,what are the importance of rigor mortis in meat processing,tenderness of meat,"Rigor mortis is an important process in meat processing as it helps to improve the quality of the meat. During rigor mortis, the muscle fibers in the meat become rigid and the meat becomes firm and easier to cut. This firmness also helps to keep the meat from shrinking during cooking. Additionally, the firmness of the meat also helps to keep the juices in the meat during cooking, resulting in a juicier, more flavorful product. Finally, rigor mortis helps",False,gpt35
185,when did the song the joker come out,1973,"The Steve Miller Band released ""The Joker"" in 1973.",True,gpt35
186,what is the tigers name in life of pi,Richard Parker,The tiger's name in Life of Pi is Richard Parker.,True,gpt35
187,when did god save the queen became the national anthem,in the 1780s and 1790s,"The national anthem of the United Kingdom, ""God Save the Queen,"" was adopted in 1745.",False,gpt35
188,when did the 5 day work week begin,1908,"The five-day workweek was first adopted in the United States in the early 20th century, with Henry Ford's introduction of the five-day, 40-hour workweek in 1926.",True,gpt35
189,where is the north pole on the world map,latitude 90° North,"The North Pole is located at the northernmost point on the Earth's surface, in the Arctic Ocean. It is located at 90 degrees north latitude and 0 degrees longitude. On a world map, the North Pole would be located at the top center of the map.",True,gpt35
190,when did the us stop drafting for the vietnam war,1973,"The draft officially ended on July 1, 1973.",True,gpt35
191,who performed the halftime show at super bowl 51,Lady Gaga,Lady Gaga performed the halftime show at Super Bowl 51.,True,gpt35
192,who lives in the blue house in balamory,Edie McCredie,Nobody. Balamory is a children's television show.,False,gpt35
193,when was the worlds first laptop computer introduced in the market and by whom,September 1980,"The world's first laptop computer, the GRiD Compass 1101, was introduced in April 1982 by GRiD Systems Corporation.",False,gpt35
194,when was the first episode of scooby doo,"September 13, 1969","The first episode of Scooby-Doo aired on September 13, 1969.",True,gpt35
196,who is the speaker in shooting an elephant,Orwell,"The speaker in ""Shooting an Elephant"" is George Orwell.",True,gpt35
197,who plays sheila carter on the bold and the beautiful,Kimberlin Brown,Adrienne Frantz,False,gpt35
201,who sings the song it ain't me,Selena Gomez,"The song ""It Ain't Me"" is performed by Kygo and Selena Gomez.",True,gpt35
203,what us president is the only president to become an eagle scout,Ford,Gerald Ford was the only U.S. President to become an Eagle Scout.,True,gpt35
204,when was the drinking age set to 21,By mid-1988,"The drinking age was set to 21 in the United States in 1984, as part of the National Minimum Drinking Age Act.",False,gpt35
207,what position did doug peterson play in the nfl,holder on placekicks,"?

Doug Peterson played quarterback in the NFL for the Chicago Bears, Minnesota Vikings, and Dallas Cowboys.",True,gpt35
208,who played lionel in as time goes by,"Geoffrey Dyson Palmer, OBE",Geoffrey Palmer,True,gpt35
209,how many co2 molecules are produced in aerobic respiration,6,"The exact number of CO2 molecules produced in aerobic respiration depends on the number of molecules of glucose that are oxidized. Generally speaking, for every molecule of glucose oxidized, two molecules of CO2 are produced.",False,gpt35
210,where does the optic nerve cross the midline ​,optic chiasm,The optic nerve crosses the midline at the optic chiasm.,True,gpt35
211,the grand tour season 2 episode 2 celebrity guests,Brian Wilson,"The celebrity guests featured in The Grand Tour Season 2 Episode 2 are:

• David Hasselhoff
• Ricky Wilson
• Cristiano Ronaldo
• Gordon Ramsay
• Jack Whitehall
• Jesse Eisenberg
• Rob Brydon
• David Tennullt
• Hugh Bonneville
• Steve Coogan
• Jeremy Clarkson
• Richard Hammond
• James May",False,gpt35
212,who was toot toot in the green mile,A trustee,Toot Toot was an elderly African-American inmate at Cold Mountain Penitentiary who was featured in the 1999 movie The Green Mile. He was portrayed by Dabbs Greer.,False,gpt35
213,what is billy last name in where the red fern grows,Colman,Billy's last name in Where the Red Fern Grows is Coleman.,True,gpt35
214,who painted the ceiling of the florence cathedral,Giorgio Vasari,The ceiling of the Florence Cathedral was painted by Giorgio Vasari in 1572.,True,gpt35
215,who sings too much time on my hands lyrics,Tommy Shaw,"The song ""Too Much Time on My Hands"" is performed by the rock band Styx.",False,gpt35
216,who has hosted the most fifa world cups,Italy,"The most FIFA World Cups hosted by one country is three. Brazil has hosted the most FIFA World Cups, hosting the event in 1950, 2014, and again in 2018.",True,gpt35
217,which is the lion's mane jellyfish's species within its genus,C. capillata,The lion's mane jellyfish (Cyanea capillata) is a species within the genus Cyanea.,True,gpt35
218,who was the buccaneers qb when they won the superbowl,Brad Johnson,The Tampa Bay Buccaneers quarterback in Super Bowl XXXVII was Brad Johnson.,True,gpt35
219,who did the central powers defeat on the eastern front before concentrating back on france,the Russian army,The Central Powers defeated the Russian Empire on the Eastern Front before concentrating their efforts back on France.,True,gpt35
220,what kind of fish live in the salton sea,tilapia,"The Salton Sea is home to a variety of fish species, including tilapia, corvina, sargo, croaker, and mullet.",True,gpt35
221,when was the defensive 3 second rule implemented,the 2001–2002 season,The defensive 3 second rule was implemented in 2001.,True,gpt35
222,when did jack mccoy join law and order,1994,"Jack McCoy joined Law & Order in the pilot episode, which aired on September 13, 1990.",False,gpt35
223,who did the music for your lie in april,Masaru Yokoyama,The music for Your Lie in April was composed by Masaru Yokoyama.,True,gpt35
224,who died in the first episode of stranger things,Benny,"The first episode of Stranger Things saw the death of Barb Holland, a friend of nullcy Wheeler, who was taken by the Demogorgon while trying to help nullcy.",False,gpt35
