,question,golden_answer,answer,judge,model
78,where are most nutrients absorbed in the human digestive tract,small intestine,small intestine,True,fid
79,when do primary ossification centers appear in an embryo,prenatal development,during prenatal development,True,fid
80,where does kevins family go in home alone 2,Florida,Paris,False,fid
81,when is season 2 of jessica jones being released,"March 8, 2018","March 8, 2018",True,fid
83,what are the top five wine producing states,New York,New York,True,fid
84,what is final season of game of thrones,eighth,eighth,True,fid
85,vikram samvat calender is official in which country,Nepal,Nepal,True,fid
86,who wrote there's a guy works down the chip shop lyrics,Kirsty MacColl,Kirsty MacColl,True,fid
88,an edge that is between a vertex and itself is a,loop,loop,True,fid
90,how tall is the actor who plays hagrid in harry potter,6ft 1in,6ft 1in,True,fid
91,what is the job of justice of the peace,dispense summary justice,keep the peace,False,fid
92,who won the oscar for best picture in 1976,Rocky,Annie Hall,False,fid
94,who was involved in the mapp vs ohio case,Dollree Mapp,Edward Keeling,False,fid
95,who was kat slater's sisters in eastenders,Zoe,Little Mo Morgan,True,fid
96,the cast of a good day to die hard,Sebastian Koch,Sebastian Koch,True,fid
99,what is the cross on a letter t called,arm,The tau cross,False,fid
102,who plays the evil doctor in wonder woman,Elena Anaya,Elena Anaya,True,fid
103,who starred in the movie summer of 42,Jennifer O'Neill,Jennifer O'Neill,True,fid
104,what album is sacrifice by elton john on,Sleeping with the Past,Sleeping with the Past,True,fid
106,where can you find dna in the body,chromosomes in a cell,almost every cell,True,fid
107,who won the most medals in the 1924 winter olympics,Norway,Norway,True,fid
108,what is the final season of downton abbey,the sixth,sixth series,True,fid
109,which site of an enzyme is called allosteric site,regulatory site,the active site,False,fid
110,what caused the breakup of the democratic republican party,the disputed 1824 presidential election,the 1824 presidential election,True,fid
111,who sings the song you'll never find another love like mine,Lou Rawls,Lou Rawls,True,fid
114,where was uncle tom's cabin first published,The National Era,1852,False,fid
116,who warned europe to stay out of the americas,Monroe Doctrine,Monroe Doctrine,True,fid
117,when did the name of bombay change to mumbai,1995,November 1995,True,fid
118,where does the formation of atp take place,plasma membrane in bacteria,mitochondria,True,fid
119,who plays matthew on anne with an e,R. H. Thomson,Martin Sheen,False,fid
120,who wrote song what a friend we have in jesus,Joseph M. Scriven,Joseph M. Scriven,True,fid
121,who dies in season 6 of once upon a time,Hyde,Emma Swan,False,fid
123,who is the guy who walked across the twin towers,Philippe Petit,Philippe Petit,True,fid
124,where do the royalties for winnie the pooh go,the Slesinger family,Disney,False,fid
126,genre of diary of a wimpy kid the getaway,Children's novel,Children's,True,fid
131,who played stumpy in the movie rio bravo,Walter Brennull,Walter Brennull,True,fid
135,what was the purpose of a revival meeting during the second great awakening,evangelizing,evangelizing,True,fid
136,when was catch me if you can made,2002,2002,True,fid
137,when did toyota first come to the united states,1957,1957,True,fid
138,what is the official symbol of the carnival of quebec,Bonhomme Carnaval,Bonhomme Carnaval,True,fid
140,what are the band members names of the rolling stones,Keith Richards,Keith Richards,True,fid
141,which apostle spoke at the council of jerusalem,James,James,True,fid
142,which film won the oscar for best animated feature in 2007,Ratatouille,Ratatouille,True,fid
143,who played daisy duke in the new dukes of hazzard,Jessica Simpson,Jessica Simpson,True,fid
144,when was the first australian prime minister elected,1901,1901,True,fid
145,where is the country music hall of fame located,"Nashville, Tennessee","Nashville, Tennessee",True,fid
146,who do the characters represent in 8 mile,loosely on Eminem,Eminem,True,fid
148,what was the first video game for nintendo,Magnavox Odyssey,Color TV Game,False,fid
149,what is the most common blood type in sweden,A+,ABO,False,fid
150,who sings the theme song for the tv show cops,Inner Circle,Inner Circle,True,fid
151,who was on the first season of dwts,Joey McIntyre,Harry Lloyd,False,fid
153,when was the minimum wage established in the united states,1938,"July 24, 2009",False,fid
154,who sings theme tune to orange is the new black,Spektor,Regina Spektor,True,fid
155,when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,1 October 2006,True,fid
157,who wrote lord have mercy on the working man,Kostas,Kostas,True,fid
158,a legislative act passed by congress is an example of,statutory law,primary legislation,False,fid
159,what is the largest bill in american money,$100,$100,True,fid
160,where are unipolar neurons found in spinal cord,the distal dorsal root,cerebellum,False,fid
161,what are the parts of a domain name called,subdomain,labels,False,fid
162,who want to be a millionaire calls his dad,Carpenter,Carpenter,True,fid
165,what is the significance of the sahara desert,the largest hot desert,the world's largest hot desert,True,fid
167,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Bartolomeu Dias,True,fid
168,who sang a whiter shade of pale first,Procol Harum,Procol Harum,True,fid
169,what material was used to build the roofs of houses in burzahom,birch,straw,False,fid
171,in what part of the digestive tube do you expect the initial digestion of starch,the mouth,the mouth,True,fid
172,who was the french chef given credit for developing the classic kitchen​ brigade,Georges Auguste Escoffier,Georges Auguste Escoffier,True,fid
173,who sings stop listen what's that sound,Buffalo Springfield,Buffalo Springfield,True,fid
175,who played mark on the show the rifleman,John Ernest Crawford,Johnny Crawford,True,fid
176,who played ricky in secret life of the american teenager,Daren Maxwell Kagasoff,Daren Maxwell Kagasoff,True,fid
177,who had the longest tenure as moderator on meet the press,Tim Russert,Tim Russert,True,fid
178,who has the talismans in sailor moon s,Haruka,Haruka,True,fid
179,when was where have all the flowers gone written,1955,1955,True,fid
180,industrial city in germany on the rhine herne canal,Henrichenburg,Bottrop,False,fid
181,what is a real world application of an atwood machine,An elevator with a counterbalance,classical mechanics,False,fid
182,who starred in the movie natural born killers,Tommy Lee Jones,Tommy Lee Jones,True,fid
183,who wants a heart in the wizard of oz,the Tin Woodman,the Tin Woodman,True,fid
184,what are the importance of rigor mortis in meat processing,tenderness of meat,the tenderness of meat,True,fid
185,when did the song the joker come out,1973,1973,True,fid
186,what is the tigers name in life of pi,Richard Parker,Richard Parker,True,fid
187,when did god save the queen became the national anthem,in the 1780s and 1790s,1977,False,fid
188,when did the 5 day work week begin,1908,1908,True,fid
189,where is the north pole on the world map,latitude 90° North,the Northern Hemisphere,False,fid
190,when did the us stop drafting for the vietnam war,1973,1973,True,fid
191,who performed the halftime show at super bowl 51,Lady Gaga,Lady Gaga,True,fid
192,who lives in the blue house in balamory,Edie McCredie,Josie Jump,False,fid
193,when was the worlds first laptop computer introduced in the market and by whom,September 1980,1981,False,fid
194,when was the first episode of scooby doo,"September 13, 1969","September 13, 1969",True,fid
196,who is the speaker in shooting an elephant,Orwell,George Orwell,True,fid
197,who plays sheila carter on the bold and the beautiful,Michelle Stafford,Michelle Stafford,True,fid
201,who sings the song it ain't me,Selena Gomez,Selena Gomez,True,fid
203,what us president is the only president to become an eagle scout,Ford,Gerald R. Ford,True,fid
204,when was the drinking age set to 21,By mid-1988,mid-1988,True,fid
207,what position did doug peterson play in the nfl,quarterback,quarterback,True,fid
208,who played lionel in as time goes by,Geoffrey Dyson Palmer,Geoffrey Dyson Palmer,True,fid
209,how many co2 molecules are produced in aerobic respiration,6,6,True,fid
210,where does the optic nerve cross the midline ​,optic chiasm,the optic chiasma,True,fid
211,the grand tour season 2 episode 2 celebrity guests,Brian Wilson,James May,False,fid
212,who was toot toot in the green mile,A trustee,Tom Hanks,False,fid
213,what is billy last name in where the red fern grows,Colman,Colman,True,fid
214,who painted the ceiling of the florence cathedral,Giorgio Vasari,Giorgio Vasari,True,fid
215,who sings too much time on my hands lyrics,Tommy Shaw,Tommy Shaw,True,fid
216,who has hosted the most fifa world cups,Brazil,Brazil,True,fid
217,which is the lion's mane jellyfish's species within its genus,C. capillata,Cyanea,True,fid
218,who was the buccaneers qb when they won the superbowl,Brad Johnson,Brad Johnson,True,fid
219,who did the central powers defeat on the eastern front before concentrating back on france,the Russian army,the French,False,fid
220,what kind of fish live in the salton sea,tilapia,tilapia,True,fid
221,when was the defensive 3 second rule implemented,the 2001–2002 season,2001-2002 season,True,fid
222,when did jack mccoy join law and order,1994,1994,True,fid
223,who did the music for your lie in april,Masaru Yokoyama,Masaru Yokoyama,True,fid
224,who died in the first episode of stranger things,Benny,Barb,False,fid
225,who are the characters in yo gabba gabba,Toodee,Toodee,True,fid
226,who was the captain of the mayflower when it took the pilgrims to the new world,Christopher Jones,Christopher Jones,True,fid
227,who won the national championship in volleyball 2017,Ohio State,Nebraska,False,fid
228,name a food you might eat on thanksgiving,a large roasted turkey,cranberry sauce,False,fid
230,what is the longest pier in the uk,Southend Pier,Southend Pier,True,fid
231,who did cora marry in once upon a time,Henry,Henry,True,fid
233,who owns the dower house in the archers,Lilian Bellamy,the widow,False,fid
234,who sings that aint no way to go,Brooks & Dunn,Brooks & Dunn,True,fid
236,what is the 3rd largest state in usa,California,California,True,fid
237,who sings why does it hurt when i pee,Frank Zappa,Frank Zappa,True,fid
238,when does the cannes film festival take place,usually in May,usually in May,True,fid
241,who is the voice of the other mother in coraline,Teri Hatcher,Teri Hatcher,True,fid
242,how many tornado planes does the uk have,138,two,False,fid
243,how many strong verbs are there in german,more than 200,more than 200,True,fid
244,who sings tie a yellow ribbon around the old oak tree,Joyce Vincent Wilson,Dawn featuring Tony Orlando,True,fid
245,where does patience is a virtue come from,"""Psychomachia,""",Hinduism,False,fid
246,which country has the smallest population in europe,Vatican City,Vatican City,True,fid
247,who plays elsa's aunt in once upon a time,Elizabeth Mitchell,Elizabeth Mitchell,True,fid
248,where was held the first session of muslim league,"Dhaka, Bangladesh",Dhaka,True,fid
249,what is the name of the dragon in eragon,Saphira,Saphira,True,fid
250,points outside the production possibilities curve represent combinations of products that are,unattainable,impossible,True,fid
251,what is the largest magnitude earthquake that has occurred in the pacific northwest,The 1700 Cascadia earthquake,1981,False,fid
253,when will the flash season 4 episode 17 come out,"April 10, 2018","March 18, 2018",False,fid
255,who is the head a in pretty little liars,CeCe Drake,Mona Vanderwaal,False,fid
256,when did the term sustainability start to be used,1987,1987,True,fid
257,where was the killing of a sacred deer filmed,Cincinnati,Cincinnati,True,fid
259,who was the killer in the movie i know what you did last summer,Ben Willis,Ben Willis,True,fid
260,who played susanna in legends of the fall,Julia Ormond,Julia Ormond,True,fid
261,what new deal program limited production in industry,National Industrial Recovery Act,the NIRA,True,fid
263,the group that officially elects the president of the united states is called,the U.S. Electoral College,the Electoral College,True,fid
264,who played adaline in the age of adaline,Blake Lively,Blake Lively,True,fid
265,who played raquel in only fools and horses,Tessa Peake-Jones,Tessa Peake-Jones,True,fid
266,who was elected governor of tennessee in 1865,Edward H. East,William Gannaway Brownlow,True,fid
267,what type of political system does el salvador have,a presidential representative democratic republic,representative democratic republic,True,fid
269,when did they stop making pull tabs on beer cans,1990,the Second World War,False,fid
270,what is the poorest county in the state of florida,Union,North Florida,False,fid
273,when did how you remind me come out,"August 21, 2001","August 21, 2001",True,fid
274,the joint between a coxal bone of the pelvis and the sacrum,sacroiliac joint,sacroiliac joint,True,fid
275,what is the song in red dead redemption,Far Away,"""Far Away""",True,fid
276,who played cosette in les miserables on broadway,Samantha Hill,Alicia Morton,False,fid
277,when did stephen curry won the mvp award,2014–15,2014–15,True,fid
278,who ran the fastest 40 yard dash in the nfl,John Ross,John Ross,True,fid
279,whats the difference between tomato paste and tomato puree,consistency,consistency,True,fid
280,what type of plate boundary is associated with iceland and its volcanic eruptions,divergent tectonic plate boundary,constructive boundary,False,fid
281,who plays jimmy's mom in 8 mile,Kim Basinger,Kim Basinger,True,fid
282,who is the presiding officer of legislative council in india,Chairman,The President,True,fid
283,when was son of a preacher man released,late 1968,September 1968,False,fid
284,when did the first train run in england,1560s,1825,False,fid
285,when did the united kingdom entered world war 2,1939,1939,True,fid
286,actress who plays brad pitts wife in war machine,Meg Tilly,Tilda Swinton,False,fid
287,who invented the cornell method of note taking,Walter Pauk,Walter Pauk,True,fid
288,who sings will you still love me when i'm not young and beautiful,Lana Del Rey,Lana Del Rey,True,fid
289,when did world war 2 officially start and end,1939,2 September 1945,True,fid
290,who wrote the song mary had a little lamb,Sarah Josepha Hale,Sarah Josepha Hale,True,fid
292,who is the book of galatians written to,the churches of Galatia,Galatians,True,fid
293,what type of song is what a wonderful world,pop ballad,pop ballad,True,fid
294,which is the first private medical college in kerala,"Government Medical College, Thiruvanullthapuram",Amala Institute of Medical Sciences,False,fid
295,tujhe dekha toh yeh jana sanam movie name,Dilwale Dulhania Le Jayenge,Kidnapper,False,fid
296,who wrote antigone and what are the dates of his birth and death,Sophocles,Sophocles,True,fid
297,when was i look at the world poem written,30–31 October 2000,January 1245,False,fid
298,what is the name of the hyena in lion king,Banzai,Scar,False,fid
299,where does the white witch live in narnia,her castle,to the north,False,fid
300,who kills barry's mom in the flash,Thawne,Thawne,True,fid
301,who is the book of acts written to,Jewish audiences,the Roman Empire,False,fid
302,what is the meaning of the name gomez,man,son of Martn,False,fid
303,how long have we been celebrating pi day,1988,1988,True,fid
305,who is the actor that plays ducky on ncis,David McCallum,"David Keith McCallum, Jr.",True,fid
306,when does the new death of superman come out,2019,"July 24, 2018",True,fid
307,who started the state of the union address,Woodrow Wilson,George Washington,False,fid
308,when was a series of unfortunate events published,September 1999,"September 30, 1999",True,fid
310,who produced a change is gonna come,Hugo & Luigi,Hugo & Luigi,True,fid
313,when did fortnite battle royal come out on xbox,September 2017,September 2017,True,fid
314,who was the first baseball player to be featured on a postage stamp,Jackie Robinson,Babe Ruth,False,fid
316,when does sam realize he is jim in ghost whisperer,Leap of Faith,"""The Children's Parade""",False,fid
317,who wrote knock knock knocking on heavens door,Bob Dylan,Bob Dylan,True,fid
318,who plays stacey's mum in gavin and stacey,Melanie Walters,Rob Brydon,False,fid
319,when did amnesia the dark descent come out,8 September 2010,2010,True,fid
320,what nfl player has the most nfl rings,Bill Belichick,Bill Belichick,True,fid
322,dendrites and cell bodies are components of what type of matter found in the brain,Grey matter,grey matter,True,fid
323,how long is the famous suspension bridge in san francisco and what is it called,one-mile-wide,The Golden Gate Bridge,True,fid
324,who sings i want to dance with you,George Strait,George Strait,True,fid
325,who sings song at the end of beauty and the beast,Josh Groban,the Beast,False,fid
326,what is an example of a government monopoly in the united states,West Virginia American Water,water providers,True,fid
327,who sang the song you got a friend in me,Randy Newman,Randy Newman,True,fid
328,where does a wrinkle in time take place,Connecticut,Camazotz,False,fid
329,what are the main functions of the stem,Production of new living tissue,asexual reproduction,False,fid
330,who said the poison is in the dose,Paracelsus,Paracelsus,True,fid
331,the outer layer of the skin that contains no blood or nerve supply is the,epidermis,epidermis,True,fid
332,what year did seven nation army come out,2003,2003,True,fid
333,what episode does marnie come back in geordie shore,5,12,False,fid
334,who played in the first fifty shades of grey,Dakota Johnson,Dakota Johnson,True,fid
335,how many episodes in season 3 of good witch,10,10,True,fid
336,when did canada get rid of the death penalty,"July 14, 1976","July 14, 1976",True,fid
337,who conducted the opening concert at carnegie hall,Pyotr Ilyich Tchaikovsky,maestro Peter Tchaikovsky,True,fid
338,host of the late show who was once a correspondent for the daily show,Stephen Colbert,Ed Helms,False,fid
339,where did students for a democratic society start,"Ann Arbor, Michigan","Ann Arbor, Michigan",True,fid
342,what genre is the magic tree house books,Children's historical fantasy,children's books,True,fid
343,who laid foundation stone of islamia college peshawar,Haji Sahib,Sir Syed Ahmad Khan,False,fid
344,who wrote the song city of new orleans,Steve Goodman,Steve Goodman,True,fid
345,who became king of erebor after thorin dies,Dáin,Dáin,True,fid
346,who won the ncaa women's championship last year 2017,South Carolina,South Carolina,True,fid
347,who plays the mouse in alice in wonderland,Barbara Windsor,Ken Dodd,False,fid
348,who did us fight in world war 1,Germany,Germany,True,fid
349,rain sleet or snow that contains a high concentration of acids is called,Acid rain,Acid rain,True,fid
350,who plays jack skellington in nightmare before christmas,Chris Sarandon,Chris Sarandon,True,fid
351,who was the head of the spanish inquisition,Grand Inquisitor,the Monarch,False,fid
355,element named after fictional planet from which superman came,Kryptonite,Krypton,False,fid
356,who plays red on orange is new black,"""Kate"" Mulgrew",Katherine Kiernull Maria Mulgrew,True,fid
357,where was the movie i am number 4 filmed,the Pittsburgh metropolitan area,"Vandergrift, Pennsylvania",False,fid
359,where does blood go when it leaves the pulmonary artery,lungs,the lungs,True,fid
360,who were the bands in pitch perfect 3,Evermoist,Evermoist,True,fid
361,who has the most yards per carry in nfl history,Emmitt Smith,Emmitt Smith,True,fid
362,who commissioned the first christmas card in 1943,Sir Henry Cole,Sir Henry Cole,True,fid
364,who was hope brady's mother on days of our lives,Addie Horton,Addie Horton,True,fid
365,what is the title of the person who runs the house of representatives,the Speaker of the House,Paul Ryan,False,fid
369,what is the most popular religion in sweden,Christianity,Christianity,True,fid
371,who decides where the super bowl is played,the NFL,the NFL,True,fid
373,what does g stand for in ncis los angeles,Grisha,G. Callen,False,fid
374,cls bank deals with transactions arising out of,foreign exchange market,foreign exchange market,True,fid
375,who is in charge of ratifying treaties in the us,the President,the President,True,fid
377,days of our lives cast doug and julie,Bill Hayes,Bill Hayes,True,fid
378,who sang i'm gonna run away from you,Tami Lynn,Tami Lynn,True,fid
379,who plays whitey bulger's girlfriend in black mass,actress Dakota Johnson,Julianne Nicholson,False,fid
380,who came up with popcorn at the movies,Glen W. Dickson,Charles Cretors,False,fid
381,what are the two extracellular fluid compartments in the body,transcellular,blood plasma,False,fid
382,what emperor took over france after the reign of terror,Napoleon,Napoleon,True,fid
383,how many episodes of touching evil are there,16,16,True,fid
384,what was the result of the revolt of 1857,British victory,India's independence in 1947,False,fid
385,who sang the song a white sports coat and a pink carnation,Marty Robbins,Marty Robbins,True,fid
386,cast of the have and have nots play,Tony Hightower as Frank,Angela Robinson,False,fid
387,who wrote shes always a woman to me,Billy Joel,Billy Joel,True,fid
390,where does new crust come from in sea floor spreading,volcanic activity,volcanic activity,True,fid
391,where was the first high level language operating system created,at IBM,1964,False,fid
392,who played shaggy in the new scooby doo movie,Matthew Lyn Lillard,Matthew Lyn Lillard,True,fid
393,what is the ultimate objective of finullcial management,Profit maximization,maximize or to continually increase shareholder value,True,fid
395,which animal on earth has the longest life span,tortoise,Greenland shark,False,fid
396,where do you get a cashiers check from,bank,bank,True,fid
397,how many episodes in great british bake off 2017,10,8,False,fid
398,who played guitar on my guitar gently weeps,Eric Clapton,Eric Clapton,True,fid
399,what state does rick and morty take place in,Washington,Washington,True,fid
401,when does nathan get in a car accident,The Show Must Go On,Days later,False,fid
402,who has the most subscribers in faze clan,FaZe Rug,82 million YouTube subscribers,False,fid
403,the removal of temperature in fire fighting method is known as,cooling,Water extinguishes a fire by cooling,True,fid
404,the witch and the hundred knight 2 us release,"March 27, 2018","February 23, 2017",False,fid
405,who was in dont worry be happy video,Robin Williams,Robin Williams,True,fid
407,who is the original singer of just when i needed you most,Randy VanWarmer,Randy VanWarmer,True,fid
408,where is the highest level of fluoride stored in the teeth,surface of the enamel,the enamel base,True,fid
409,ganglion axons forming the optic nerve run to the,pretectal nucleus,brain,True,fid
412,where do peaches come from in the us,Georgia,Georgia,True,fid
413,when did they stop putting lead in paint,1992,1978,False,fid
414,what breed of dog is the teddy bear dog,Zuchon,Syrian hamster,False,fid
415,when did the battles of lexington and concord happen,"April 19, 1775","April 19, 1775",True,fid
416,who won the 1st battle of bull run,Confederate,Confederate,True,fid
417,what is the name of the under butler in downton abbey,Charles Carson,Thomas Barrow,False,fid
419,who was appointed to manage the national recovery administration,Hugh S. Johnson,Hugh Johnson,True,fid
420,how oxygenated blood returns to the heart from the lungs,pulmonary circulation,pulmonary circulation,True,fid
423,who plays jill bigelow in line of duty,Polly Walker,Leanne Best,False,fid
425,who won best boy band i heart radio music awards,BTS,Fifth Harmony,False,fid
426,where was the statue of liberty originally built,France,France,True,fid
427,what language is the olympic anthem sang in,Greek,English,False,fid
429,when does kc undercover season 3 episode 10 air,"November 10, 2017","February 2, 2018",False,fid
430,where does the ohio river and the mississippi river meet,"Cairo, Illinois","Cairo, Illinois",True,fid
431,who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,True,fid
432,where do the phaeacians live in the odyssey,Scheria,Scheria,True,fid
433,who invented the glasses that give sight to the blind,2006,Joshua Silver,False,fid
434,when do we find out luke and leia are siblings,Return of the Jedi,Return of the Jedi,True,fid
435,who wrote the original little red riding hood story,Charles Perrault,Charles Perrault,True,fid
436,what are the four main types of precipitation,sleet,rain,False,fid
437,who won the men's ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyu,True,fid
439,which is the fastest train in india and what is its speed,Gatiman,Gatimaan Express,True,fid
440,who are the permanent member of un security council,United States,United States,True,fid
442,what is the average height of a chinese man,5 ft 6 in,5 ft 5 in,False,fid
444,which abbott and costello movie has who on first,One Night in the Tropics,One Night in the Tropics,True,fid
445,who does the voice of the beast in the new movie,Dan Stevens,Dan Stevens,True,fid
446,when did the first wireless beats come out,October 2012,October 2012,True,fid
448,who wrote the song be thankful for what you got,William DeVaughn,William DeVaughn,True,fid
449,where did they film the show the crossing,"British Columbia, Canada","British Columbia, Canada",True,fid
450,when was the movie cool hand luke made,1967,1967,True,fid
451,who says that which we call a rose,Juliet,Juliet,True,fid
452,who proposed the first accurate model of dna,Watson,James Watson,True,fid
455,when did congress passes legislation to fund the national cancer institute,"August 5, 1937","December 23, 1971",False,fid
457,who is the cast of despicable me 3,Jenny Slate,Jenny Slate,True,fid
458,who wrote put your hand in the hand of the man who stilled the water,Gene MacLellan,Gene MacLellan,True,fid
459,who presides over the joint sessions of parliament,President,the Speaker,False,fid
460,who was the president of pakistan during 1971 war,President Yahya Khan,President Yahya Khan,True,fid
461,who is the girl in the hinder video lips of an angel,Emmanuelle Chriqui,Emmanuelle Chriqui,True,fid
462,who helped the british in the french and indian war,Cherokee,American Indian allies,False,fid
463,which animal is the carrier of the h1n1 virus,Pig,birds,False,fid
464,which type of fire detector uses the effect of smoke on a light source and photo-electric cell,optical smoke detector,photoelectric smoke detectors,True,fid
465,when did the romanticism period start and end,1780–1830,1800 to 1850,False,fid
466,who sings ive loved you for a thousand years,Christina Perri,Christina Perri,True,fid
468,who stole the mona lisa from the louvre in 1911,Vincenzo Peruggia,Vincenzo Peruggia,True,fid
470,who sings far from the home i love in fiddler on the roof,Hodel,Michele Marsh,False,fid
471,when did billy don't be a hero come out,1974,1974,True,fid
472,who is mowgli's main enemy in the jungle book,Shere Khan,Shere Khan,True,fid
473,when did the tradition of self government began in america,1783,1776,False,fid
474,who wrote somewhere there's a place for us,Stephen Sondheim,Stephen Sondheim,True,fid
475,actor who played caesar in dawn of the planet of the apes,Andy Serkis,Andy Serkis,True,fid
476,what information is displayed in clear text from the ftp header,all transmissions,username and password,False,fid
477,what is the name of son of lord krishna,Pradyumna,Pradyumna,True,fid
478,who is considered as architect of india constitution,B. R. Ambedkar,Bhimrao Ramji Ambedkar,True,fid
479,who sang with eternal on i wanna be the only one,BeBe Winulls,BeBe Winulls,True,fid
481,what is the name of the gap between two front teeth,diastema,diastema,True,fid
484,how many steps does the cn tower have,"2,579 steps","1,776",False,fid
485,when did south sudan join east african community,April 2016,March 2016,True,fid
486,when did cricket go to 6 ball overs,1979,1979/80,True,fid
487,who votes in the speaker of the house,The House of Representatives,The House of Representatives,True,fid
488,who plays steve's wife on my three sons,Beverly Garland,Beverly Garland,True,fid
489,the chinese dragons are protectors of how many seas diggy,Four,Four,True,fid
491,who was the first to say i'm going to disney world,Phil Simms,Phil Simms,True,fid
492,who signed the largest on the declaration of independence,John Hancock,John Hancock,True,fid
494,all time highest goal scorer in spain national team,David Villa,David Villa,True,fid
495,where did the book small steps take place,"Austin, Texas","Austin, Texas",True,fid
497,who has won 2017 women's singles korean open series badminton championship,P. V. Sindhu,Kim Ga-eun,False,fid
498,how many episodes are in season 7 of pretty little liars,20,20,True,fid
499,where did the term 'robot' come from,Czech,Czech writer Karel apek,True,fid
501,where is south pole located on a map,on the continent of Antarctica,Antarctica,True,fid
502,prior to 1948 north and south vietnam were a part of,France,French Indochina,True,fid
503,wal-mart is a prime example of which type organization,multinational retail corporation,multinational,True,fid
