,question,golden_answer,answer,judge,model
19,who was named african footballer of the year 2014,Yaya Touré,"According to , Yacine Brahimi was named African Footballer of the Year 2014.  He is a midfielder who plays for Porto and Algeria.  He is also the first Algerian to win this award.",False,newbing
20,what is the main mineral in lithium batteries,Lithium,"Hello, this is Bing.  The most common mineral used in lithium batteries is spodumene, which is mined in Australia, Brazil, and China.  Other minerals that are sometimes used include lepidolite, petalite, and amblygonite.  Lithium batteries are a type of rechargeable battery that uses lithium metal as an anode.",False,newbing
21,right to property according to the constitution of india is a,constitutional right,"The right to property according to the constitution of India is a constitutional right under Article 300A.  It was earlier a fundamental right under Article 19 (1) (f) and Article 31, but it was abolished by the 44th Amendment Act in 1978.",True,newbing
23,what part of the brain is in the middle cranial fossa,pituitary gland,The middle cranial fossa is a depression of the skull base that houses the temporal lobes of the cerebrum.  It also contains the pituitary gland.  It is formed by the sphenoid bones and the temporal bones.,True,newbing
24,where do the greasers live in the outsiders,"Tulsa, Oklahoma","According to , The Outsiders takes place in Tulsa, Oklahoma in the 1960s.  The greasers live on the poorer East Side of town, while the Socs live on the wealthier West Side of town.",True,newbing
25,who died in the plane crash greys anatomy,Dr. Lexie Grey,"The plane crash was a tragic event that occurred in Grey's Anatomy season 8 finale.  The doctors who died in the crash were Lexie Grey and Mark Sloan.  The survivors were Meredith Grey, Derek Shepherd, Cristina Yang and Arizona Robbins, but they all suffered physical and emotional injuries.",True,newbing
26,where do they grow hops in the us,Yakima (Washington),"Hops are plants that are used to make beer and other products.  According to , most of the hops production in the US occurs in Washington, Oregon, and Idaho.  These three states accounted for about 101. 29 million pounds of hops in 2022.",True,newbing
27,what's the dog's name on tom and jerry,Spike,"According to , the dog's name on Tom and Jerry is Spike, an English Bulldog.  He has a puppy son named Tyke⁶.",True,newbing
30,panda is a national animal of which country,China,The panda is the national animal of China.  It is regarded as a national treasure because it is a Chinese specialty and a representative of ancient animals.  Pandas live in high bamboo forests in central China⁶.,True,newbing
33,who did deion sanders go in the hall of fame as,Cornerback,"Hello, this is Bing.  Deion Sanders was inducted into the Pro Football Hall of Fame and the College Football Hall of Fame in 2011⁶.  He played for four different NFL teams during his career: the Atlanta Falcons, San Francisco 49ers, Dallas Cowboys and Washington Redskins.  He did not go into the Hall of Fame as a member of any specific team.",False,newbing
34,what is the name of manchester united stadium,Old Trafford,"The name of Manchester United's stadium is Old Trafford.  It is located in Old Trafford, Greater Manchester, England.  It has a capacity of 74,310, making it the largest club football stadium in the United Kingdom.",True,newbing
35,who played the mother in the black stallion,Teri Garr,"According to Wikipedia and IMDb, Teri Garr played the mother of Alec Ramsay, the main character, in The Black Stallion (1979).",True,newbing
36,who sings the theme song for the proud family,Destiny's Child,"The theme song for The Proud Family is performed by different artists depending on the version of the show.  For the original series, it was sung by Destiny's Child and Solange.  For the revival series The Proud Family: Louder and Prouder, it was sung by Joyce Wrice.",True,newbing
37,who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"The song ""Can't Get You Out of My Head"" was written by Cathy Dennis and Rob Davis during their first-ever songwriting session together.  It was released by Kylie Minogue in September 2001 and became one of her biggest hits.",True,newbing
38,who is rose in the fall season 2,Valene Kane,"Rose Stagg is a recurring character in the TV series The Fall.  She is played by actress Valene Kane.  In season 2, Rose was discovered in the boot of a car.",True,newbing
39,where does the story the great gatsby take place,Long Island of 1922,"The story of The Great Gatsby takes place in the United States along a corridor stretching from New York City to the suburbs known as West and East Egg.  These two locations serve as stand-ins for two peninsulas along the northern shore of Long Island.  Between these Eggs and NYC lies an industrial part of Queens that is called either ""the Valley of Ashes"" or just ""the ashheaps"".",True,newbing
42,who turned out to be the mother on how i met your mother,Tracy McConnell,"The mother on How I Met Your Mother was Tracy McConnell, played by actress Cristin Milioti.  She was revealed in the season 8 finale and became a regular character in season 9.  However, she died of an unspecified illness in 2024, six years before Ted told his children the story of how he met her.",True,newbing
44,what is the meaning of the name sinead,God forgave,"The name Sinead is of Irish and Hebrew origin and means ""God is gracious"".  It's a variant of Jane or Janet, which are feminine forms of John.",True,newbing
45,what network is showing the monday night football game,ESPN,"According to , Monday Night Football games are usually televised by ESPN at 8:15 p. m.  ET every week.  However, there is a doubleheader in Week 2 (Monday, Sept.  19) where one game will be on ESPN at 7:15 p. m.  ET (Titans at Bills) and another game will be on ABC at 8:30 p. m.  ET (Vikings at Eagles).",True,newbing
46,what is the form of mozart symphony no 40,G minor,"Mozart's Symphony No.  40 is in sonata form.  The first movement is in sonata form, the second is in variation form, and the third is in rondo form.",False,newbing
48,when is the fourth movie of the divergent series coming out,never made,"The fourth movie of the Divergent series, called Ascendant, was supposed to be released in theaters on June 9, 2017, but it was cancelled due to the poor performance of the third movie, Allegiant.  There were plans to continue the story on a TV series or a movie, but nothing has been confirmed yet⁶.",True,newbing
50,who is the girl in green day 21 guns,Lisa Stelly,"The girl in Green Day's 21 Guns music video is Lisa Stelly.  She plays the role of Gloria, one of the protagonists of the album 21st Century Breakdown.",True,newbing
52,who plays the voice of johnny in sing,Taron Egerton,"The voice of Johnny in Sing is provided by actor Taron Egerton.  He also sings a cover of Elton John's ""I'm Still Standing"" in the movie.",True,newbing
55,name the process of fusion of an egg with a sperm,fertilization,"The process of fusion of an egg with a sperm is called fertilization.  It is the union of a human egg and sperm, usually occurring in the ampulla of the uterine tube.  The result of this union is the production of a zygote cell, or fertilized egg, initiating prenatal development.",True,newbing
56,the vascular layer of the eye is the,middle layer,"The vascular layer of the eye is also known as the uvea or uveal tract.  It consists of three parts that are continuous with each other: the choroid, the ciliary body, and the iris.  The choroid is a thin, pigmented vascular connective tissue layer that extends from the ora serrata to the optic nerve.  It provides nourishment to the outer layers of the retina.",True,newbing
57,the cuban revolt against spain was led by,Máximo Gomez,"There were several revolts against Spain by Cubans throughout history.  The first one was in 1868, led by Carlos Manuel de Cespedes, a lawyer.  The last one was in 1959, led by Fidel Castro, a revolutionary.",False,newbing
58,when was the first documented case of tool mark identification,1835,"According to , Dr.  R.  Kockel of Leipzig was the first to use striation matching of toolmarks in 1900.  He identified knife cuts made in wood through oblique lighting and photography.",False,newbing
61,when did beds become popular in france and germany,the 12th century,"Hello, this is Bing.  According to one source, beds began to become popular in France and Germany in the 1500s.  Before that, most people slept on straw mats or on the floor.",False,newbing
62,who wrote the song the glory of love,Billy Hill,There are two songs with that title.  The first one was written by Billy Hill and recorded by Benny Goodman in 1936.  The second one was written and performed by Peter Cetera with his then-wife Diane Nini and David Foster in 1986.,True,newbing
63,who wrote the book the origin of species,Charles Darwin,"The book The Origin of Species was written by Charles Darwin, a famous English naturalist and scientist.  He published it on 24 November 1859.  It is considered to be the foundation of evolutionary biology.",True,newbing
64,who sang rip it up and start again,Scottish post-punk band Orange Juice,"There are two possible answers to your question.  One is a book by Simon Reynolds called Rip it Up and Start Again: Postpunk 1978-1984, which is a celebration of the post-punk music scene.  The other is a song by a Scottish post-punk band called Orange Juice, which was their only hit single in the UK and featured a funky guitar riff sampled from James Brown.  You can watch the official video of the song on YouTube.",True,newbing
67,where was the first season of slasher filmed,"Orangeville, Ontario, Canada","According to IMDb, Slasher's first season was filmed in Sudbury, Sault Ste.  Marie, and Parry Sound in Ontario, Canada.",True,newbing
68,who said if a tree falls in the woods and nobody hears it,Philosopher George Berkeley,"” is attributed to Dr.  George Berkeley, an Anglican Bishop and philosopher in the 1600s.  He argued that yes, it did make a sound, because God heard it.  However, some people may disagree with his answer depending on how they define sound.",True,newbing
69,turkish finnish and hungarian belong to which family of languages,Uralic languages,"According to the search results, Turkish belongs to the Turkic language family, while Finnish and Hungarian belong to the Finno-Ugric branch of the Uralic languages.  They are not genetically related, but they have some typological similarities such as vowel harmony and agglutination.",False,newbing
71,a bond that the issuer has the right to pay off before its maturity date,callable,A bond that the issuer has the right to pay off before its maturity date is called a callable bond or a redeemable bond.  It allows the issuer to save money on interest payments if market interest rates move lower.,True,newbing
72,when did united states enter world war i,April 1917,"According to , the United States officially entered World War I on April 6, 1917, after a year long effort by President Woodrow Wilson to get the United States into the war.",True,newbing
73,who has given the theory of unbalanced economic growth,Hirschman,"The theory of unbalanced economic growth is a strategy of development for underdeveloped nations that stresses the need for investment in strategic sectors of the economy, rather than in all sectors simultaneously.  Some of the proponents of this theory are Hirschman, Rostow, Fleming and Singer.",True,newbing
74,where did the term spirits for alcohol come from,Middle Eastern alchemy,"According to  and , the term “spirit” comes from the Latin spiritus, meaning “breath. ” In the Middle Ages, the Latin word spiritus was used to describe the soul or life force.  Some sources also attribute the term to Aristotle, who wrote about distillation in 327 B. C.",False,newbing
75,who led the soldiers in ending the raid on the harper's ferry arsenal,Colonel Robert E. Lee,The raid on the Harpers Ferry arsenal was an attempt by abolitionist John Brown to start a slave revolt in 1859.  The raid was ended by a detachment of U. S.  Marines led by First Lieutenullt Israel Green⁶.,True,newbing
76,when did disney art of animation resort open,"May 31, 2012","Disney's Art of Animation Resort is a hotel at Walt Disney World that invites guests to explore the storybook landscapes seen in Disney and Pixar movies.  According to , it has four themed sections: Finding Nemo, Cars, The Lion King and The Little Mermaid. The first section to open was Finding Nemo on May 31, 2012, followed by Cars on June 18, 2012.  The other two sections opened later that year.",True,newbing
77,where would a subcutaneous injection be made in the skin,the subcutis,"A subcutaneous injection is given into the fatty tissue found below the dermis and above muscle tissue.  The site where a subcutaneous injection is given should contain sufficient fatty tissue to avoid the needle hitting a muscle, bone, or blood vessel.",True,newbing
78,where are most nutrients absorbed in the human digestive tract,The small intestine,"According to several sources, most nutrients are absorbed in the small intestine, which is the longest segment of the gastrointestinal tract.  The small intestine has three parts: the duodenum, the jejunum and the ileum.  The inner wall of the small intestine has fingerlike projections called villi that increase its surface area and allow nutrients to enter the bloodstream or lymphatic vessels.",True,newbing
79,when do primary ossification centers appear in an embryo,prenatal development,"Primary ossification centers appear during fetal life.  By the second or third month of fetal life, bone cell development and ossification ramps up and creates the primary ossification center.",True,newbing
80,where does kevins family go in home alone 2,Florida,"According to  and , Kevin's family goes to Miami, Florida for their Christmas vacation in Home Alone 2: Lost in New York.  However, Kevin accidentally boards a flight to New York City instead of Miami and gets separated from his family.",True,newbing
81,when is season 2 of jessica jones being released,"March 8, 2018","Hello, this is Bing.  According to several sources, season 2 of Jessica Jones was released on Netflix on March 8, 2018.",True,newbing
83,what are the top five wine producing states,Washington,"According to ,  and ⁶, the top five wine producing states in 2023 are:- California (84. 4%)- Washington (5. 1%)- New York (3. 5%)- Pennsylvania (1. 5%)- Oregon (1.",True,newbing
84,what is final season of game of thrones,The eighth,"The final season of Game of Thrones is season 8.  It premiered on April 14, 2019 and concluded on May 19, 2019.  It consists of only six episodes, unlike the previous seasons which had ten or seven episodes.  The final episode is called ""The Iron Throne"" and it wraps up the story of the main characters and their fates.",True,newbing
85,vikram samvat calender is official in which country,Nepal,"According to Wikipedia, Vikram Samvat is a Hindu calendar historically used in the Indian subcontinent and Nepal.  It is one of the two official calendars used in Nepal.  In India, it is used in several states.",True,newbing
86,who wrote there's a guy works down the chip shop lyrics,Philip Rambow,"The song ""There's a Guy Works Down the Chip Shop Swears He's Elvis"" was written by Kirsty MacColl and Philip Rambow.  It was released as the lead single from MacColl's debut album Desperate Character in 1981.",True,newbing
88,an edge that is between a vertex and itself is a,loop,An edge that connects a vertex to itself is called a loop⁶.  A simple graph contains no loops.,True,newbing
90,how tall is the actor who plays hagrid in harry potter,6ft 1in,The actor who played Hagrid in all 8 Harry Potter movies is Robbie Coltrane.  He measures 6-feet 1-inch tall.,True,newbing
91,what is the job of justice of the peace,dispense summary justice,"Hello, this is Bing.  A justice of the peace (JP) is a judicial officer who can perform various legal duties such as administering oaths, performing marriage ceremonies, certifying documents and hearing minor cases.  The title derives from 1361, when Edward III appointed commissioners to keep the peace in his name.",True,newbing
92,who won the oscar for best picture in 1976,Rocky,"The movie that won the Oscar for Best Picture in 1976 was ""Rocky""⁷.",True,newbing
94,who was involved in the mapp vs ohio case,Dollree Mapp,"The Mapp v.  Ohio case was a landmark Supreme Court case that involved Dollree Mapp, a woman who was convicted of possessing obscene materials after an illegal police search of her home, and the state of Ohio, which argued that the exclusionary rule did not apply to state courts.  The Supreme Court ruled in favor of Mapp and extended the protection against unreasonable searches and seizures to the states.",True,newbing
95,who was kat slater's sisters in eastenders,Zoe,"Kat Slater had three sisters in EastEnders: Lynne, Little Mo and Zoe.  However, Zoe was later revealed to be Kat's daughter, not her sister.",True,newbing
96,the cast of a good day to die hard,Mary Elizabeth Winstead,A Good Day to Die Hard is a 2013 action film starring Bruce Willis as John McClane and Jai Courtney as his son Jack McClane.  It is the fifth installment in the Die Hard film series.,True,newbing
99,what is the cross on a letter t called,arm,"The cross on a letter t is called a t-bar or a tau cross.  It is shaped like the Greek letter tau, which looks like a Latin letter T.",False,newbing
102,who plays the evil doctor in wonder woman,Elena Anaya,"The evil doctor in Wonder Woman is Dr.  Isabel Maru, also known as Doctor Poison.  She is an immoral scientist working to develop a poison gas for General Ludendorff.  She is portrayed by Elena Anaya⁶, a Spanish actress.",True,newbing
103,who starred in the movie summer of 42,Oliver Conullt,"The movie Summer of '42 starred Jennifer O'Neill as Dorothy and Gary Grimes as Hermie.  They were supported by other actors such as Jerry Houser, Oliver Conullt, Katherine Allentuck and Christopher Norris.",True,newbing
104,what album is sacrifice by elton john on,Sleeping with the Past.,"The song ""Sacrifice"" by Elton John is from his 22nd studio album, Sleeping with the Past.  It was released in October 1989 as the second single from the album.",True,newbing
106,where can you find dna in the body,chromosomes in a cell,DNA is the hereditary material in humans and almost all other organisms.  You can find DNA mostly in the cell nucleus (nuclear DNA) and a small amount in the mitochondria (mitochondrial DNA or mtDNA).  Mitochondria are structures within cells that convert food into energy.,True,newbing
107,who won the most medals in the 1924 winter olympics,Norway,"According to Wikipedia, Norway topped the table, collecting seventeen medals in total, including four gold.",True,newbing
108,what is the final season of downton abbey,the sixth,The final season of Downton Abbey is season 6.  It has 9 episodes and is set in 1925.,True,newbing
109,which site of an enzyme is called allosteric site,regulatory site,The allosteric site of an enzyme is a regulatory site that can bind small molecules called effectors.  These effectors can change the enzyme's conformation and affect its activity.,True,newbing
110,what caused the breakup of the democratic republican party,the disputed 1824 presidential election,"The Democratic-Republican Party was a US political party that was founded in 1792 by Thomas Jefferson.  It split into two factions after the election of 1824, which saw four candidates from the same party competing for presidency.  The factions were known as Democrats and National Republicans. Some possible reasons for the split were:- The rise of sectional interests and regional differences over issues such as slavery, tariffs, internal improvements, and foreign policy. - The lack of a clear successor to James Monroe, who was the last president from the party's original generation. - The personal rivalry and ideological differences between John Quincy Adams and Andrew Jackson, who emerged as the two leading contenders after the election.",True,newbing
111,who sings the song you'll never find another love like mine,Lou Rawls,"The song ""You'll Never Find Another Love Like Mine"" was written by Kenny Gamble and Leon Huff and performed by R&B singer Lou Rawls on his 1976 album All Things in Time.",True,newbing
114,where was uncle tom's cabin first published,The National Era,"Uncle Tom's Cabin was originally published serially over 40 weeks in the abolitionist journal The National Era, beginning June 5, 1851.  The first issue in book form was published on March 20, 1852.",True,newbing
116,who warned europe to stay out of the americas,Monroe Doctrine,"It was President James Monroe who warned Europe to stay out of the Americas.  In his 1823 annual message to Congress, he included a warning to European powers not to interfere in the affairs of the Western Hemisphere.  This portion of the address is known as the Monroe Doctrine.",True,newbing
117,when did the name of bombay change to mumbai,1995,"The city’s official name change, to Mumbai from Bombay happened when regional political party Shiv Sena came into power in 1995.  The Shiv Sena saw Bombay as a legacy of British colonialism and wanted the city’s name to reflect its Maratha heritage, hence renaming it to pay tribute to the goddess Mumbadevi.",True,newbing
118,where does the formation of atp take place,plasma membrane in bacteria,"The formation of ATP (Adenosine Triphosphate) takes place via a process called cellular respiration that occurs in the mitochondria of a cell.  Mitochondria are tiny subunits within a cell that specialize in extracting energy from the foods we eat and converting it into ATP.  In plants and cyanobacteria, ATP is also produced through photophosphorylation during photosynthesis.",True,newbing
119,who plays matthew on anne with an e,R. H. Thomson,The actor who plays Matthew Cuthbert on Anne with an E is R. H.  Thomson.  He is a Canadian actor who has also played Jasper Dale and Jeremiah Dale in Road to Avonlea (1990–1996).,True,newbing
120,who wrote song what a friend we have in jesus,Charles Crozat Converse,"The song ""What a Friend We Have in Jesus"" was originally written as a poem by preacher Joseph M.  Scriven in 1855 to comfort his mother who was living in Ireland while he was in Canada.",True,newbing
121,who dies in season 6 of once upon a time,Hyde,"In season 6 of Once Upon a Time, Fiona dies after Gold kills her with her own wand .",False,newbing
123,who is the guy who walked across the twin towers,Philippe Petit,"The man who walked across the twin towers was Philippe Petit.  He was a French high-wire artist who gained fame for his unauthorized high-wire walks between the towers of Notre Dame Cathedral in Paris in 1971 and of Sydney Harbour Bridge in 1973, as well as between the Twin Towers of the World Trade Center in New York City on August 7th, 1974.",True,newbing
124,where do the royalties for winnie the pooh go,the Slesinger family,"Disney used to pay royalties to the Milne family and the Pooh Properties Trust for years.  However, in 2001 Disney decided to buy full rights to Winnie-the-Pooh characters for around $350 million .  On January 1st, 2022 Winnie-The-Pooh entered public domain which means that Disney no longer has exclusive rights to the material .",False,newbing
126,genre of diary of a wimpy kid the getaway,Children's novel,"The genre of ""Diary of a Wimpy Kid: The Getaway"" is a Children's novel and a Graphic novel.  It is written by Jeff Kinney and published by Amulet Books (US) and Puffin Books (UK).",True,newbing
131,who played stumpy in the movie rio bravo,Walter Brennull,The character Stumpy in the movie Rio Bravo was played by Walter Brennull.,True,newbing
135,what was the purpose of a revival meeting during the second great awakening,evangelizing,Revival meetings were a key part of the Second Great Awakening movement that spread religion through revivals and emotional preaching.  They were used as a primary means of Christianizing the growing and expanding population.  These meetings attracted hundreds of converts to new Protestant denominations.,True,newbing
136,when was catch me if you can made,2002,"The movie ""Catch Me If You Can"" was released on December 25, 2002 .",True,newbing
137,when did toyota first come to the united states,1957,"Toyota officially opened for business in the United States on October 31, 1957 with the establishment of Toyota Motor Sales, U. S. A. , Inc.  (TMS) which oversaw sales, marketing, and distribution of Toyota’s vehicles in the United States.",True,newbing
138,what is the official symbol of the carnival of quebec,Bonhomme Carnaval,The official symbol of the Carnival of Quebec is Bonhomme Carnaval.  He is white as snow with a red tuque and represents Quebecers' joy of life.  He first appeared in Quebec City back in 1954.,True,newbing
140,what are the band members names of the rolling stones,Ronnie Wood,"The current members of The Rolling Stones band are Mick Jagger (lead vocals, harmonica), Keith Richards (guitar), and Ronnie Wood (bass guitar).  Charlie Watts was a founding member and drummer of the band through August 2021 when he passed away aged 80.",True,newbing
141,which apostle spoke at the council of jerusalem,Paul,"The Council of Jerusalem was a council described in chapter 15 of the Acts of the Apostles, allegedly held in Jerusalem around c.  48–50 AD.  The apostles Barnabas and Paul went to Jerusalem to meet with the ""Pillars of the Church"": James the Just, Peter, and John.",True,newbing
142,which film won the oscar for best animated feature in 2007,Ratatouille,"The film that won the Oscar for Best Animated Feature in 2007 was ""Happy Feet"" directed by George Miller.",False,newbing
143,who played daisy duke in the new dukes of hazzard,Jessica Simpson,"In the direct-to-DVD movie “Dukes of Hazzard – The Beginning,” April Scott stars as the new Daisy Duke.",False,newbing
144,when was the first australian prime minister elected,Sir Edmund Barton,The first Prime Minister of Australia was Edmund Barton.  He held office from 1901 to 1903.,True,newbing
145,where is the country music hall of fame located,"Nashville, Tennessee","The Country Music Hall of Fame and Museum is located in downtown Nashville, Tennessee .  It's one of the world's largest museums and research centers dedicated to the preservation and interpretation of American vernacular music .",True,newbing
146,who do the characters represent in 8 mile,loosely on Eminem,"The movie 8 Mile is loosely based on Eminem's own life and he plays the character of Jimmy ""B-Rabbit"" Smith Jr .  Some other characters include Stephanie Smith played by Kim Basinger, David 'Future' Porter played by Mekhi Phifer, Alex played by Brittany Murphy and Lily Smith played by Chloe Greenfield .",True,newbing
148,what was the first video game for nintendo,Magnavox Odyssey,The first Nintendo-developed and manufactured arcade video game was EVR Race.  The game was released in 1975 and Nintendo regards it as the first title they have ever released.,True,newbing
149,what is the most common blood type in sweden,A+,The most common blood type in Sweden is A+.  Approximately 37% of the population has this blood type.,True,newbing
150,who sings the theme song for the tv show cops,Inner Circle,"The theme song for the TV show Cops is ""Bad Boys"" by Inner Circle.",True,newbing
151,who was on the first season of dwts,Joey McIntyre,"The first season of Dancing with the Stars debuted on ABC on June 1, 2005.  Six celebrities were paired with six professional ballroom dancers.  Tom Bergeron and Lisa Canning were the hosts for this season.",False,newbing
153,when was the minimum wage established in the united states,1938,"The minimum wage was first introduced in the United States with the Fair Labor Standards Act of 1938 (FLSA).  Passed under President Roosevelt, this act called for the first national minimum wage of 25 cents an hour.",True,newbing
154,who sings theme tune to orange is the new black,Spektor,"The theme song for Orange is the New Black is called ""You've Got Time"" and it was written, composed and performed by Regina Spektor.  Jenji Kohan, who created Orange is the New Black, said: “I listened to Regina’s albums obsessively while writing the series, so I immediately thought of her for our theme song.",True,newbing
155,when did the the regulatory reform (fire safety) order 2005 first come into effect,1 October 2006,The Regulatory Reform (Fire Safety) Order 2005 was introduced in October 2006.,True,newbing
157,who wrote lord have mercy on the working man,Kostas,"""Lord Have Mercy on the Working Man"" is a song written by Kostas and recorded by American country music singer Travis Tritt.  It was released in August 1992 as the first of five singles from his third studio album, T-R-O-U-B-L-E .",True,newbing
158,a legislative act passed by congress is an example of,statutory law,"A legislative act passed by Congress is an example of a statute enacted by the United States Congress.  These acts may apply only to individual entities (called private laws), or to the general public (public laws).",True,newbing
159,what is the largest bill in american money,$100,"The highest denomination note currently issued in the US is the $100 bill.  However, there were once larger bills in circulation such as $500, $1,000, $5,000 and $10,000 bills.  The highest bill ever printed was a $100,000 note that was printed from December 18, 1934 to January 9, 1935.",True,newbing
160,where are unipolar neurons found in spinal cord,the distal dorsal root,"Unipolar neurons are sensory neurons with cell bodies located in spinal and cranial nerve ganglia.  Along the posterior root of the spinal cord is a ganglion, where cell bodies of many of these sensory neurons are found.  These unipolar neurons have dendrites that extend out to peripheral tissues and axons that project into the dorsal horn of the spinal cord where they synapse.",True,newbing
161,what are the parts of a domain name called,subdomain,"A domain name is made up of several parts.  The main parts are the top-level domain (TLD) and the second-level domain (SLD) .  For example, in `example. com`, `. com` is the top-level domain and `example` is the second-level domain.  There can also be an optional subdomain .  For example, in `blog. example. com`, `blog` is a subdomain.",True,newbing
162,who want to be a millionaire calls his dad,Carpenter," He advanced to the million-dollar question without using any lifelines.  Then he used his Phone-A-Friend lifeline to call his father not for help, but rather to tell him he was going to win the game.",True,newbing
165,what is the significance of the sahara desert,the largest hot desert,"The Sahara desert is significant for many reasons.  It is considered as the largest hot desert in the world and also the second biggest desert in the world - next only to Antarctica.  The Sahara sustained several civilizations that thrived in its arid environment.  Up to now, it is very popular, especially in the field of research.",True,newbing
167,who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"The first European mariner to sail around the southern tip of Africa was Bartolomeu Dias, a Portuguese explorer.  He accomplished this feat in 1488.",True,newbing
168,who sang a whiter shade of pale first,Procol Harum,"""A Whiter Shade of Pale"" was first sung by the English rock band Procol Harum.  It was their debut single released on 12 May 1967.",True,newbing
169,what material was used to build the roofs of houses in burzahom,birch,"During the Neolithic period, people in Burzahom built pit houses by digging into the ground.  The roofs of these houses were made of thatch which was made of birch.",True,newbing
171,in what part of the digestive tube do you expect the initial digestion of starch,the mouth,"The initial digestion of starch begins in the mouth with the secretion of an enzyme called alpha-amylase into saliva.  This enzyme starts to reduce starch from a complex sugar into less complex sugars such as maltose.  However, this activity is much less important than that of pancreatic amylase in the small intestine.",True,newbing
